Episode,RL_Agent,Bot 80/20,Bot 1/3,Bot Honest,Bot 60/40
500,1.80,50.38,36.99,76.52,30.36
1000,1.60,47.64,36.00,74.29,37.85
1500,2.00,46.31,42.38,72.69,32.60
2000,2.60,47.15,39.26,78.14,34.68
2500,2.60,47.13,40.54,73.41,32.21
3000,2.80,46.22,34.29,80.74,32.69
3500,3.00,47.68,34.66,79.60,30.51
4000,4.20,50.00,32.22,75.50,33.21
4500,2.60,48.93,36.44,76.79,32.20
5000,4.80,45.42,38.34,77.41,30.74
5500,3.40,52.14,30.36,75.50,34.41
6000,3.80,45.27,39.83,76.77,30.53
6500,4.40,41.90,28.33,81.44,36.21
7000,4.60,41.42,34.24,78.54,37.35
7500,3.80,43.82,37.39,77.52,31.43
8000,2.20,44.24,36.15,78.75,36.80
8500,4.60,47.66,34.55,77.87,31.50
9000,4.40,48.47,36.43,75.32,32.65
9500,5.60,43.60,37.79,77.59,30.36
10000,5.20,51.15,33.74,67.70,34.45
10500,2.00,49.12,29.10,78.91,38.80
11000,4.40,47.43,40.29,74.90,28.26
11500,4.60,48.41,40.77,71.54,27.02
12000,3.00,47.49,36.82,77.01,29.28
12500,6.40,46.80,33.47,75.11,33.58
13000,5.60,43.85,32.87,81.60,31.03
13500,4.80,49.63,26.24,78.60,32.54
14000,5.60,39.26,38.95,78.80,30.29
14500,8.40,42.47,40.00,74.14,24.28
15000,9.20,40.70,32.41,81.61,31.95
15500,7.20,41.71,36.60,74.28,29.03
16000,7.20,43.97,37.19,74.02,30.51
16500,6.40,42.17,40.67,75.10,29.75
17000,5.80,40.70,34.65,80.08,29.84
17500,9.00,38.46,35.66,77.43,28.45
18000,8.40,41.87,33.98,79.23,25.96
18500,9.80,38.43,36.03,80.66,26.34
19000,8.20,40.93,30.89,77.24,31.78
19500,10.20,38.46,37.12,77.20,27.20
20000,10.00,41.54,37.86,78.97,22.47
20500,12.40,38.57,28.97,80.54,26.87
21000,9.80,37.39,34.90,80.67,29.60
21500,9.80,42.08,32.08,76.98,29.22
22000,10.60,42.08,29.96,78.09,29.01
22500,8.60,38.89,33.07,77.90,29.80
23000,10.20,37.55,38.22,74.23,27.54
23500,10.60,40.29,31.77,80.00,29.55
24000,11.80,39.00,29.82,80.00,27.78
24500,9.40,40.30,33.20,74.80,31.93
25000,11.60,39.02,33.20,79.65,28.94
25500,10.60,42.28,31.72,80.00,27.49
26000,10.60,38.37,32.34,77.18,32.33
26500,8.40,43.18,29.63,79.44,29.80
27000,9.40,39.31,33.18,75.77,31.09
27500,10.20,40.78,25.22,81.97,32.00
28000,12.60,35.04,31.90,76.47,30.50
28500,11.00,39.53,30.96,76.71,30.89
29000,15.40,40.39,29.81,74.60,23.25
29500,13.80,36.73,32.31,73.66,27.47
30000,14.40,35.22,38.52,74.26,26.10
30500,17.80,35.86,33.80,76.50,20.82
31000,14.60,36.51,34.98,75.40,23.32
31500,11.40,41.53,33.47,72.40,29.88
32000,14.20,36.36,31.92,79.34,25.31
32500,11.40,37.93,37.14,74.12,26.78
33000,13.00,39.69,30.00,77.87,28.78
33500,12.20,38.10,34.51,78.21,27.80
34000,13.00,36.02,35.18,73.73,27.71
34500,12.60,39.06,32.51,71.98,30.40
35000,12.40,37.05,37.40,79.83,24.81
35500,14.60,36.48,30.77,77.64,26.83
36000,11.40,40.50,31.78,74.90,30.17
36500,11.80,32.41,31.27,82.61,33.33
37000,8.40,37.10,33.33,80.56,30.99
37500,9.80,40.00,35.66,79.03,25.83
38000,11.80,40.75,34.03,74.18,26.55
38500,8.80,40.96,33.86,79.18,28.97
39000,7.80,39.77,35.43,84.44,29.77
39500,13.80,33.96,36.33,75.64,29.25
40000,13.60,34.02,36.80,73.06,29.50
40500,13.60,30.83,30.80,80.54,29.17
41000,17.60,38.58,31.75,74.25,22.58
41500,19.20,35.37,32.79,75.81,18.53
42000,19.60,36.03,28.62,75.61,21.01
42500,16.20,35.41,31.30,73.00,29.92
43000,12.60,41.06,29.26,72.34,26.75
43500,14.60,35.00,29.85,78.52,26.27
44000,15.20,36.73,31.47,74.58,29.48
44500,11.80,38.08,31.89,76.83,28.23
45000,16.80,36.89,27.62,78.00,24.34
45500,15.00,35.82,31.12,77.47,23.95
46000,13.60,42.11,29.23,72.66,25.66
46500,13.00,33.58,35.95,78.60,23.73
47000,13.80,36.99,27.98,78.74,28.02
47500,15.00,34.33,32.29,73.99,25.00
48000,17.20,35.00,33.59,76.61,26.32
48500,14.00,39.01,30.08,76.45,26.67
49000,16.20,35.47,31.67,76.74,23.13
49500,14.40,41.20,29.20,70.63,29.00
50000,14.80,38.53,35.27,76.14,19.32
50500,14.20,34.42,31.65,80.75,26.61
51000,14.60,36.14,29.10,75.11,33.47
51500,13.60,38.40,29.96,76.26,23.11
52000,14.20,34.76,29.10,80.45,24.51
52500,16.40,30.65,33.07,75.48,25.74
53000,15.60,38.40,32.16,78.02,23.79
53500,14.00,29.72,33.46,77.22,29.66
54000,15.40,34.76,37.45,72.45,22.39
54500,15.00,37.20,31.38,75.88,24.41
55000,17.20,34.06,29.22,77.83,27.49
55500,11.60,35.77,37.55,77.48,30.89
56000,14.80,35.60,30.16,77.33,27.89
56500,17.00,37.55,25.22,76.10,25.20
57000,14.20,36.61,33.21,74.90,25.79
57500,15.40,32.79,30.52,78.43,26.51
58000,14.60,38.96,31.58,77.22,21.97
58500,13.00,38.80,35.71,77.53,26.07
59000,11.80,44.69,28.86,74.50,26.52
59500,17.20,35.20,32.92,77.35,23.08
60000,15.80,38.30,33.98,77.11,19.84
60500,13.60,40.08,30.71,77.82,24.39
61000,12.60,40.62,28.57,76.60,25.81
61500,14.60,36.21,27.64,76.53,25.21
62000,15.40,36.29,34.55,73.85,22.76
62500,11.40,34.76,32.66,80.15,27.24
63000,9.20,42.69,34.54,75.83,29.88
63500,22.60,35.29,25.90,75.59,24.91
64000,13.40,37.55,33.61,75.60,26.25
64500,14.80,40.17,33.47,75.95,24.65
65000,14.40,35.71,31.66,76.54,28.46
65500,15.80,30.59,34.85,78.33,26.89
66000,12.00,39.57,32.96,80.35,28.04
66500,15.60,37.65,31.58,76.59,21.95
67000,13.00,36.98,33.03,75.70,21.46
67500,13.80,38.55,28.40,76.99,29.69
68000,10.00,37.34,34.32,79.21,23.77
68500,17.20,30.62,31.12,73.52,29.84
69000,13.80,36.92,31.98,76.15,28.51
69500,13.60,37.82,33.08,77.87,26.82
70000,13.00,34.39,34.65,76.28,27.92
70500,14.40,34.93,32.95,77.13,25.10
71000,19.00,34.72,26.61,77.29,22.46
71500,17.60,34.29,32.56,76.52,22.00
72000,15.40,37.02,35.60,72.65,26.38
72500,18.00,37.21,33.91,70.20,23.97
73000,13.00,36.61,34.96,76.09,21.72
73500,13.80,40.32,31.72,74.14,24.12
74000,11.80,39.83,35.63,78.71,23.17
74500,11.60,38.43,34.69,76.89,26.10
75000,12.40,30.38,36.40,80.00,25.87
75500,7.00,38.31,41.28,80.08,28.14
76000,11.40,44.09,29.07,76.95,24.57
76500,13.20,34.02,36.43,77.01,23.63
77000,11.80,37.55,34.03,75.60,28.96
77500,9.60,39.30,38.15,75.41,28.80
78000,14.60,38.37,34.33,79.13,22.57
78500,10.20,38.91,34.45,74.72,29.46
79000,10.60,40.07,35.74,75.79,26.02
79500,12.00,41.35,30.43,77.13,30.96
80000,10.60,35.86,34.13,75.94,29.39
80500,14.60,39.83,33.46,76.61,21.40
81000,8.20,45.38,31.95,74.81,30.25
81500,12.80,40.40,31.84,78.78,24.62
82000,13.40,34.96,33.84,77.86,24.10
82500,8.60,44.39,33.45,78.71,26.72
83000,10.40,36.96,31.15,77.07,31.54
83500,11.20,37.60,33.05,73.80,28.94
84000,12.60,39.63,32.94,76.15,27.20
84500,5.80,42.68,33.09,79.15,35.46
85000,8.80,37.50,35.91,78.51,31.08
85500,11.20,39.93,34.41,75.19,25.55
86000,9.80,38.46,33.70,79.45,28.40
86500,12.00,37.74,30.80,76.33,31.58
87000,7.00,43.53,31.86,77.78,27.43
87500,11.00,37.55,33.21,83.00,25.19
88000,14.00,36.99,28.46,80.17,29.37
88500,13.60,40.16,32.84,79.51,28.89
89000,10.00,40.66,33.85,78.91,25.61
89500,19.40,35.47,30.04,78.26,22.61
90000,20.40,29.87,29.88,76.38,22.99
90500,12.00,35.69,29.13,79.86,24.41
91000,11.20,36.03,35.06,76.59,28.98
91500,13.80,32.82,35.52,77.73,29.60
92000,15.00,34.31,34.58,78.91,21.13
92500,16.80,34.65,31.30,75.81,25.00
93000,16.60,35.43,27.46,78.80,25.00
93500,15.20,33.33,32.68,78.97,27.64
94000,12.80,38.24,33.20,77.61,24.00
94500,11.40,39.36,33.60,75.31,28.76
95000,11.20,37.50,36.51,74.19,29.37
95500,9.00,42.32,33.87,71.90,32.71
96000,14.60,41.42,33.20,70.93,27.20
96500,10.00,45.61,27.64,72.79,28.81
97000,9.60,40.00,37.34,73.93,27.08
97500,9.80,42.41,34.36,70.96,29.10
98000,8.60,43.73,29.54,78.36,26.29
98500,9.00,44.23,32.93,74.90,28.33
99000,6.60,45.35,35.21,73.86,27.50
99500,5.00,42.03,42.97,76.05,29.54
100000,7.80,41.63,37.23,76.40,26.85
