Episode,RL_Agent,Bot Honest,Epsilon
500,8.60,45.70,0.864213
1000,16.60,41.70,0.748951
1500,30.40,34.80,0.655057
2000,47.20,26.40,0.580051
2500,52.80,23.60,0.515927
3000,66.40,16.80,0.463847
3500,70.00,15.00,0.419490
4000,79.60,10.20,0.383344
4500,80.40,9.80,0.351271
5000,82.20,8.90,0.323158
5500,85.20,7.40,0.298233
6000,84.00,8.00,0.275264
6500,84.80,7.60,0.253382
7000,81.20,9.40,0.233748
7500,80.80,9.60,0.215516
8000,84.40,7.80,0.198646
8500,83.20,8.40,0.183520
9000,87.40,6.30,0.170579
9500,84.20,7.90,0.158163
10000,85.20,7.40,0.146847
10500,86.20,6.90,0.136486
11000,83.00,8.50,0.126854
11500,87.40,6.30,0.118431
12000,83.80,8.10,0.110237
12500,82.60,8.70,0.102513
13000,83.20,8.40,0.095414
13500,85.80,7.10,0.089154
14000,79.60,10.20,0.082870
14500,79.00,10.50,0.076808
15000,80.40,9.80,0.071610
15500,83.60,8.20,0.066622
16000,79.00,10.50,0.061616
16500,81.20,9.40,0.056917
17000,82.20,8.90,0.052709
17500,80.60,9.70,0.048981
18000,84.40,7.80,0.045626
18500,85.60,7.20,0.042544
19000,83.80,8.10,0.039761
19500,80.80,9.60,0.037128
20000,83.40,8.30,0.034490
20500,80.00,10.00,0.031803
21000,80.40,9.80,0.029445
21500,80.00,10.00,0.027246
22000,78.80,10.60,0.025197
22500,74.40,12.80,0.023223
23000,70.60,14.70,0.021296
23500,73.00,13.50,0.019608
24000,71.20,14.40,0.018105
24500,67.40,16.30,0.016668
25000,75.00,12.50,0.015353
25500,74.20,12.90,0.014124
26000,77.60,11.20,0.013037
26500,80.40,9.80,0.012070
27000,75.60,12.20,0.011144
27500,74.20,12.90,0.010208
28000,78.80,10.60,0.010000
28500,77.80,11.10,0.010000
29000,77.20,11.40,0.010000
29500,76.60,11.70,0.010000
30000,71.40,14.30,0.010000
30500,70.80,14.60,0.010000
31000,73.20,13.40,0.010000
31500,78.60,10.70,0.010000
32000,77.20,11.40,0.010000
32500,76.60,11.70,0.010000
33000,73.60,13.20,0.010000
33500,76.80,11.60,0.010000
34000,72.40,13.80,0.010000
34500,72.00,14.00,0.010000
35000,70.40,14.80,0.010000
35500,63.40,18.30,0.010000
36000,70.60,14.70,0.010000
36500,66.80,16.60,0.010000
37000,70.60,14.70,0.010000
37500,72.40,13.80,0.010000
38000,68.40,15.80,0.010000
38500,73.00,13.50,0.010000
39000,76.80,11.60,0.010000
39500,76.60,11.70,0.010000
40000,75.00,12.50,0.010000
40500,72.40,13.80,0.010000
41000,73.40,13.30,0.010000
41500,77.00,11.50,0.010000
42000,71.80,14.10,0.010000
42500,71.40,14.30,0.010000
43000,71.00,14.50,0.010000
43500,75.20,12.40,0.010000
44000,76.40,11.80,0.010000
44500,67.80,16.10,0.010000
45000,72.20,13.90,0.010000
45500,72.00,14.00,0.010000
46000,71.20,14.40,0.010000
46500,74.20,12.90,0.010000
47000,70.00,15.00,0.010000
47500,73.20,13.40,0.010000
48000,75.00,12.50,0.010000
48500,68.80,15.60,0.010000
49000,71.00,14.50,0.010000
49500,76.00,12.00,0.010000
50000,72.80,13.60,0.010000
