Episode,RL_Agent,Bot 80/20,Bot 1/3,Bot Honest,Bot 60/40,Epsilon
500,1.40,41.49,36.59,80.15,37.05,0.832317
1000,1.00,45.69,38.06,80.17,35.34,0.685465
1500,1.40,50.63,37.55,77.73,30.74,0.568824
2000,1.20,45.64,35.27,82.87,39.30,0.472747
2500,0.60,48.03,41.90,79.19,32.39,0.394723
3000,0.60,47.45,41.03,81.03,30.83,0.329517
3500,1.20,43.22,39.61,79.46,33.86,0.276108
4000,1.00,43.82,36.80,79.37,36.84,0.230763
4500,1.00,50.21,39.78,78.30,31.35,0.192755
5000,0.60,43.37,41.67,79.01,35.34,0.162000
5500,0.60,48.06,34.65,81.12,33.96,0.135641
6000,0.80,44.96,37.69,78.02,34.06,0.114843
6500,0.80,46.61,40.83,80.00,28.51,0.097242
7000,1.60,43.46,36.02,76.43,37.61,0.082319
7500,1.40,48.57,40.16,83.33,28.84,0.069555
8000,0.60,42.98,42.23,77.56,35.96,0.058759
8500,0.60,43.70,39.42,81.32,30.24,0.049739
9000,1.60,45.49,36.95,81.93,34.20,0.041881
9500,0.40,45.23,36.29,78.09,33.47,0.035372
10000,0.40,46.18,44.19,77.82,31.54,0.029965
10500,1.00,41.60,34.02,80.57,36.13,0.025444
11000,0.40,45.22,37.20,77.65,38.87,0.021673
11500,0.20,48.12,40.83,79.84,31.47,0.018359
12000,1.20,48.97,34.88,76.56,36.21,0.015579
12500,2.20,44.07,35.58,85.83,29.63,0.013234
13000,1.20,44.44,39.92,78.17,34.41,0.011196
13500,1.80,39.68,41.56,79.53,34.66,0.010000
14000,1.40,42.73,39.06,80.75,32.36,0.010000
14500,1.00,39.00,41.25,80.74,37.60,0.010000
15000,0.60,42.67,36.14,80.00,36.72,0.010000
15500,2.00,41.20,40.00,80.67,36.10,0.010000
16000,2.00,40.00,42.86,79.67,34.81,0.010000
16500,2.00,44.00,40.80,78.03,36.11,0.010000
17000,1.20,40.08,43.53,80.57,34.31,0.010000
17500,0.60,43.56,37.21,74.90,41.70,0.010000
18000,0.60,47.97,36.23,81.33,34.68,0.010000
18500,0.80,41.37,43.54,79.15,36.33,0.010000
19000,0.80,41.96,37.85,77.26,36.41,0.010000
19500,1.00,46.67,38.58,78.21,37.13,0.010000
20000,0.20,47.58,36.19,79.93,32.23,0.010000
20500,1.40,42.68,41.89,81.05,31.54,0.010000
21000,0.80,43.36,41.43,78.21,37.84,0.010000
21500,1.00,40.23,39.92,81.86,38.15,0.010000
22000,1.20,45.24,41.57,74.53,32.74,0.010000
22500,1.00,42.73,39.26,80.41,36.43,0.010000
23000,1.80,45.23,37.88,75.61,37.75,0.010000
23500,2.20,41.15,38.63,80.00,35.77,0.010000
24000,1.40,47.48,31.40,80.38,35.69,0.010000
24500,1.80,46.90,37.50,79.58,33.74,0.010000
25000,0.80,47.08,39.62,78.86,31.90,0.010000
25500,0.60,46.34,37.75,72.39,39.66,0.010000
26000,1.00,49.19,43.58,76.40,28.57,0.010000
26500,1.20,43.15,41.56,78.24,33.07,0.010000
27000,1.00,47.37,38.18,80.72,35.69,0.010000
27500,1.20,38.14,41.50,78.60,35.83,0.010000
28000,1.80,37.40,35.91,81.11,38.71,0.010000
28500,2.40,45.22,36.65,79.56,29.80,0.010000
29000,1.40,44.98,43.04,77.33,32.96,0.010000
29500,0.60,43.85,36.84,82.19,36.64,0.010000
30000,1.20,42.98,36.86,80.07,33.47,0.010000
30500,0.80,49.78,39.85,78.52,30.08,0.010000
31000,0.80,51.90,43.16,77.92,28.34,0.010000
31500,0.60,47.95,40.60,76.28,33.33,0.010000
32000,1.20,42.36,41.92,79.62,30.89,0.010000
32500,0.60,44.49,39.91,79.47,33.20,0.010000
33000,0.80,38.60,42.74,79.04,34.19,0.010000
33500,1.40,44.89,36.11,78.42,37.92,0.010000
34000,0.80,52.03,35.02,75.77,31.90,0.010000
34500,0.80,44.15,34.06,80.00,35.86,0.010000
35000,1.60,46.84,39.57,74.34,34.60,0.010000
35500,1.60,44.23,35.98,81.40,33.58,0.010000
36000,0.60,43.60,36.65,77.13,33.90,0.010000
36500,1.40,48.21,37.06,78.08,31.74,0.010000
37000,0.40,43.53,37.87,81.82,34.20,0.010000
37500,0.60,43.11,42.92,77.97,36.51,0.010000
