Episode,RL_Agent,Bot 80/20,Bot 1/3,Bot Honest,Bot 60/40,Epsilon
500,1.80,49.00,36.99,76.67,32.45,0.937925
1000,1.00,48.21,30.08,77.90,36.56,0.882055
1500,1.60,52.79,33.06,75.86,34.10,0.828415
2000,0.20,49.80,36.14,76.99,37.35,0.777921
2500,0.00,52.91,34.83,81.67,32.96,0.729307
3000,0.80,54.69,31.01,78.57,35.52,0.682740
3500,0.00,48.32,34.85,80.22,33.99,0.641218
4000,0.80,50.94,35.27,79.51,32.00,0.601144
4500,0.60,53.45,33.07,78.28,35.96,0.564344
5000,0.00,54.03,35.64,79.04,34.68,0.529355
5500,0.00,52.54,35.32,79.40,35.50,0.496145
6000,0.60,50.73,36.60,77.92,33.47,0.465207
6500,0.00,47.70,38.78,76.13,38.43,0.436714
7000,0.20,50.93,33.91,72.95,40.55,0.410690
7500,0.00,45.33,39.00,75.98,39.31,0.385917
8000,0.20,50.41,36.40,73.59,34.43,0.363325
8500,0.40,50.19,37.29,77.97,36.86,0.341478
9000,0.20,49.03,39.43,79.74,34.22,0.320599
9500,0.00,50.54,36.78,76.42,38.00,0.301428
10000,0.20,48.46,37.15,78.36,33.73,0.284099
10500,0.20,50.81,32.79,79.83,37.87,0.267008
11000,0.20,49.80,35.18,74.72,36.89,0.251834
11500,0.20,47.24,37.55,76.00,38.68,0.237296
12000,0.00,43.80,38.52,78.26,39.08,0.223042
12500,0.00,45.56,43.10,74.69,37.50,0.210179
13000,0.00,49.61,35.89,77.14,37.94,0.198295
13500,0.20,47.21,34.54,79.20,35.25,0.187056
14000,0.00,49.44,39.69,76.25,35.06,0.176460
14500,0.00,49.59,38.02,71.48,37.45,0.166498
15000,0.00,44.02,42.80,73.00,38.01,0.157289
15500,0.00,48.78,38.43,75.39,36.63,0.148453
16000,0.00,47.33,39.53,76.25,35.39,0.140115
16500,0.00,48.88,34.77,76.39,41.56,0.132278
17000,0.00,48.47,39.30,77.16,37.35,0.124930
17500,0.00,45.23,39.67,74.05,39.61,0.118324
18000,0.00,47.41,42.80,76.35,34.88,0.111656
18500,0.00,48.81,38.35,71.02,42.62,0.105430
19000,0.00,41.35,36.11,82.63,38.79,0.099839
19500,0.00,43.70,34.14,79.62,40.93,0.094394
20000,0.00,49.37,35.77,75.29,38.67,0.089319
20500,0.00,44.80,37.64,79.15,37.75,0.084452
21000,0.00,44.62,36.26,75.72,44.67,0.079906
21500,0.00,43.24,40.00,79.15,39.85,0.075654
22000,0.00,43.92,32.91,80.84,40.08,0.071649
22500,0.00,47.47,38.80,79.32,36.33,0.067822
23000,0.00,45.11,42.51,81.08,35.85,0.064116
23500,0.20,53.26,34.96,72.87,37.97,0.060576
24000,0.00,45.38,39.09,76.05,37.89,0.057391
24500,0.00,47.37,37.71,79.07,40.64,0.054265
25000,0.20,40.43,38.79,77.60,42.36,0.051350
25500,0.00,48.05,38.82,73.90,40.00,0.048619
26000,0.00,46.40,35.04,75.77,41.53,0.046094
26500,0.00,43.27,39.58,75.66,39.11,0.043677
27000,0.20,46.06,42.44,74.71,35.98,0.041333
27500,0.00,45.86,39.75,72.29,41.91,0.039157
28000,0.00,46.37,39.76,75.51,39.13,0.037138
28500,0.00,48.81,34.98,77.17,38.25,0.035227
29000,0.00,46.51,42.28,74.80,36.18,0.033364
29500,0.00,45.35,41.29,77.33,39.26,0.031552
30000,0.00,49.13,38.70,72.49,38.01,0.029894
30500,0.00,48.63,37.26,76.50,39.92,0.028324
31000,0.00,44.86,35.91,79.53,39.34,0.026835
31500,0.00,40.33,43.10,83.69,36.64,0.025419
32000,0.00,44.76,40.16,77.36,35.39,0.024115
32500,0.20,45.59,39.75,76.54,35.27,0.022852
33000,0.00,40.89,42.80,74.55,45.38,0.021624
33500,0.00,43.95,38.40,80.31,35.65,0.020505
34000,0.00,50.64,35.10,72.89,38.96,0.019411
34500,0.00,41.67,37.55,75.50,45.45,0.018422
35000,0.00,46.69,40.62,75.86,38.75,0.017463
35500,0.00,47.64,41.53,77.47,33.83,0.016560
36000,0.00,43.97,39.18,79.67,38.27,0.015690
36500,0.00,45.24,45.21,75.93,34.55,0.014866
37000,0.00,44.67,42.32,77.04,35.27,0.014093
37500,0.00,46.61,35.44,73.00,42.97,0.013355
38000,0.00,48.26,38.26,72.49,39.24,0.012664
38500,0.00,45.98,38.24,73.73,44.16,0.011984
39000,0.00,47.98,39.37,78.81,36.26,0.011362
39500,0.00,41.89,43.06,79.50,36.28,0.010769
40000,0.00,44.58,39.86,74.69,42.44,0.010194
40500,0.00,45.45,44.32,76.49,33.86,0.010000
41000,0.00,40.16,42.65,78.05,39.50,0.010000
41500,0.00,43.57,39.42,78.38,37.45,0.010000
42000,0.00,47.56,36.75,76.43,37.35,0.010000
42500,0.00,39.50,38.00,77.98,40.43,0.010000
43000,0.00,43.95,37.88,81.71,37.19,0.010000
43500,0.00,42.91,38.96,77.36,38.22,0.010000
44000,0.00,45.08,38.59,75.28,38.71,0.010000
44500,0.00,46.40,37.12,77.73,36.71,0.010000
45000,0.00,36.73,41.01,79.03,43.15,0.010000
45500,0.00,40.94,41.18,74.37,45.06,0.010000
46000,0.00,42.56,39.22,78.21,39.03,0.010000
46500,0.00,43.28,38.75,77.08,40.17,0.010000
47000,0.00,46.43,40.51,75.29,36.51,0.010000
47500,0.00,45.08,42.46,77.78,34.52,0.010000
48000,0.00,43.83,36.24,75.44,39.44,0.010000
48500,0.00,44.64,40.35,78.39,39.02,0.010000
