Episode,RL_Agent,Bot 80/20,Bot 1/3,Bot Honest,Bot 60/40,Epsilon
500,1.80,45.45,35.71,79.03,33.33,0.832292
1000,1.60,46.92,35.53,82.95,28.68,0.691901
1500,2.00,48.05,38.67,78.14,29.46,0.573915
2000,1.80,51.03,35.69,79.31,32.96,0.477106
2500,2.80,44.03,28.51,79.73,29.81,0.404881
3000,3.20,48.71,33.60,84.71,28.62,0.339730
3500,4.00,48.94,31.94,80.16,29.39,0.286366
4000,4.00,49.41,32.94,76.81,28.19,0.241696
4500,2.80,50.00,39.44,79.74,26.67,0.204269
5000,3.20,47.35,31.71,80.00,30.74,0.173037
5500,4.00,46.59,28.45,82.09,29.51,0.147910
6000,3.60,48.15,25.83,88.40,30.08,0.125649
6500,5.60,47.79,30.50,86.96,25.52,0.106173
7000,3.40,48.31,36.82,84.35,27.24,0.089786
7500,2.60,48.76,28.79,84.19,32.26,0.076456
8000,3.60,46.09,32.82,84.40,29.80,0.065244
8500,5.60,43.46,28.46,81.95,29.20,0.056002
9000,4.20,43.42,35.16,83.71,26.98,0.048020
9500,4.60,45.02,35.23,85.77,24.60,0.040991
10000,3.80,45.31,34.88,83.40,25.55,0.035283
10500,5.00,41.56,29.73,88.17,27.12,0.030256
11000,7.40,47.41,32.17,80.69,28.88,0.025849
11500,3.60,41.47,37.65,86.77,22.69,0.022171
12000,5.80,41.31,32.02,85.65,32.17,0.018818
12500,5.60,44.81,33.33,82.95,25.74,0.016191
13000,7.60,41.30,32.68,82.95,25.63,0.013903
13500,5.80,44.53,32.70,84.26,28.63,0.011916
14000,4.80,46.61,34.50,79.84,29.84,0.010227
14500,3.40,44.19,36.04,84.96,28.10,0.010000
15000,2.60,42.74,36.54,84.30,32.00,0.010000
15500,3.40,42.91,38.10,86.59,25.21,0.010000
16000,3.20,49.79,34.75,81.13,23.63,0.010000
16500,3.40,46.99,34.96,85.40,29.77,0.010000
17000,2.40,46.62,32.82,87.67,31.84,0.010000
17500,3.00,42.98,30.43,85.87,30.08,0.010000
18000,4.20,40.98,33.87,83.96,28.75,0.010000
