Episode,RL_Agent,Bot Honest,Epsilon
500,8.60,45.70,0.865523
1000,16.60,41.70,0.747806
1500,28.40,35.80,0.651764
2000,44.60,27.70,0.573941
2500,55.00,22.50,0.509414
3000,61.60,19.20,0.455743
3500,68.80,15.60,0.411160
4000,75.20,12.40,0.373222
4500,81.80,9.10,0.340864
5000,85.00,7.50,0.312401
5500,85.60,7.20,0.287986
6000,83.80,8.10,0.265594
6500,85.40,7.30,0.245367
7000,89.80,5.10,0.228386
7500,88.80,5.60,0.212371
8000,89.40,5.30,0.197345
8500,88.60,5.70,0.183950
9000,91.40,4.30,0.172392
9500,89.80,5.10,0.160934
10000,89.20,5.40,0.150610
10500,90.40,4.80,0.140921
11000,92.20,3.90,0.131879
11500,89.80,5.10,0.123208
12000,94.40,2.80,0.115534
12500,91.00,4.50,0.108261
13000,93.00,3.50,0.101894
13500,92.80,3.60,0.096059
14000,93.00,3.50,0.090450
14500,94.60,2.70,0.085549
15000,94.60,2.70,0.081168
15500,95.80,2.10,0.077115
16000,93.80,3.10,0.072978
16500,93.60,3.20,0.069034
17000,93.40,3.30,0.065276
17500,93.40,3.30,0.061806
18000,94.20,2.90,0.058394
18500,94.60,2.70,0.054957
19000,91.80,4.10,0.051534
19500,92.20,3.90,0.048383
20000,94.20,2.90,0.045623
20500,92.20,3.90,0.043037
21000,94.60,2.70,0.040637
21500,92.80,3.60,0.038269
22000,93.40,3.30,0.036170
22500,93.80,3.10,0.034191
23000,95.40,2.30,0.032399
23500,94.00,3.00,0.030712
24000,96.00,2.00,0.029135
24500,94.80,2.60,0.027515
25000,95.80,2.10,0.026061
25500,92.20,3.90,0.024540
26000,94.80,2.60,0.023275
26500,96.00,2.00,0.022132
27000,95.60,2.20,0.021025
27500,94.80,2.60,0.019938
28000,95.20,2.40,0.018897
28500,95.00,2.50,0.017915
29000,94.40,2.80,0.016980
29500,96.20,1.90,0.016140
30000,94.80,2.60,0.015360
30500,96.80,1.60,0.014629
31000,97.00,1.50,0.013924
31500,95.60,2.20,0.013229
32000,96.80,1.60,0.012617
32500,97.20,1.40,0.012022
33000,96.60,1.70,0.011441
33500,94.60,2.70,0.010873
34000,97.60,1.20,0.010378
34500,98.40,0.80,0.010000
35000,98.00,1.00,0.010000
35500,97.80,1.10,0.010000
36000,95.00,2.50,0.010000
36500,96.80,1.60,0.010000
37000,97.20,1.40,0.010000
37500,97.20,1.40,0.010000
38000,95.80,2.10,0.010000
38500,95.60,2.20,0.010000
39000,95.80,2.10,0.010000
39500,96.60,1.70,0.010000
40000,96.00,2.00,0.010000
40500,95.60,2.20,0.010000
41000,98.00,1.00,0.010000
41500,96.20,1.90,0.010000
42000,96.20,1.90,0.010000
42500,96.60,1.70,0.010000
43000,97.00,1.50,0.010000
43500,97.80,1.10,0.010000
44000,97.00,1.50,0.010000
44500,94.80,2.60,0.010000
45000,96.20,1.90,0.010000
45500,96.60,1.70,0.010000
46000,97.80,1.10,0.010000
46500,96.20,1.90,0.010000
47000,97.20,1.40,0.010000
47500,96.40,1.80,0.010000
48000,94.40,2.80,0.010000
48500,95.60,2.20,0.010000
49000,97.00,1.50,0.010000
49500,97.20,1.40,0.010000
50000,97.60,1.20,0.010000
