Episode,RL_Agent,Bot 80/20,Bot 1/3,Bot Honest,Bot 60/40,Epsilon
56500,0.00,43.33,40.38,78.17,41.35,0.010000
57000,0.00,40.91,38.37,78.31,39.00,0.010000
57500,0.00,46.94,38.87,75.30,38.91,0.010000
58000,0.00,45.56,38.37,78.52,34.18,0.010000
58500,0.00,40.00,44.40,79.08,37.82,0.010000
59000,0.00,43.53,37.31,76.23,41.15,0.010000
59500,0.00,42.23,45.91,80.77,28.45,0.010000
60000,0.00,47.62,41.00,75.19,34.85,0.010000
60500,0.00,43.43,41.53,74.17,38.02,0.010000
61000,0.00,44.31,41.70,80.32,34.44,0.010000
61500,0.00,42.17,42.37,79.63,32.65,0.010000
62000,0.00,43.80,40.91,77.39,35.92,0.010000
62500,0.00,42.19,47.69,78.11,34.26,0.010000
63000,0.00,41.70,44.24,81.50,36.19,0.010000
63500,0.00,45.45,43.09,76.29,37.60,0.010000
64000,0.00,42.69,42.65,79.53,35.46,0.010000
64500,0.00,40.65,42.29,80.99,37.45,0.010000
65000,0.00,40.82,39.68,82.61,40.23,0.010000
65500,0.00,43.41,42.24,75.20,39.23,0.010000
66000,0.00,47.29,35.82,82.63,36.55,0.010000
66500,0.00,44.44,43.75,73.25,39.36,0.010000
67000,0.00,47.04,43.08,76.32,36.68,0.010000
67500,0.00,38.33,41.47,79.25,38.40,0.010000
68000,0.00,43.51,38.15,76.52,39.92,0.010000
68500,0.00,46.54,39.44,74.79,40.08,0.010000
69000,0.00,46.48,39.57,77.02,37.16,0.010000
69500,0.00,50.98,38.11,73.48,35.02,0.010000
70000,0.00,42.62,40.32,76.32,38.40,0.010000
70500,0.00,45.38,41.80,76.45,37.74,0.010000
71000,0.00,44.02,43.61,75.68,35.27,0.010000
71500,0.00,42.50,40.26,76.68,40.22,0.010000
72000,0.00,43.59,40.47,79.67,38.06,0.010000
72500,0.00,42.97,42.80,70.93,42.39,0.010000
73000,0.00,45.83,38.71,80.17,36.18,0.010000
73500,0.00,43.32,40.77,77.11,38.52,0.010000
74000,0.00,40.00,43.36,78.82,36.68,0.010000
74500,0.00,46.04,38.96,79.35,35.25,0.010000
75000,0.00,43.32,38.87,80.24,37.02,0.010000
75500,0.00,43.48,43.02,75.82,38.37,0.010000
76000,0.00,44.18,38.60,82.25,38.31,0.010000
76500,0.00,44.71,42.70,76.15,37.66,0.010000
77000,0.00,46.72,41.91,76.33,36.30,0.010000
77500,0.00,41.42,44.76,76.89,38.62,0.010000
78000,0.00,45.85,45.23,74.47,36.03,0.010000
78500,0.00,45.69,41.29,75.53,39.70,0.010000
79000,0.00,41.20,40.66,77.95,38.21,0.010000
79500,0.00,42.25,38.84,75.59,42.68,0.010000
80000,0.00,44.44,40.45,75.11,42.48,0.010000
80500,0.00,42.97,41.15,76.02,40.46,0.010000
81000,0.00,45.12,43.31,77.78,36.47,0.010000
81500,0.00,42.36,41.86,77.01,37.30,0.010000
82000,0.00,40.39,38.82,83.41,41.00,0.010000
82500,0.00,43.78,43.63,77.82,31.42,0.010000
83000,0.00,43.03,43.64,82.08,33.70,0.010000
83500,0.00,43.50,43.44,76.13,38.20,0.010000
84000,0.00,43.98,43.13,79.27,34.26,0.010000
84500,0.00,38.31,43.28,81.45,36.86,0.010000
85000,0.00,42.70,45.45,80.37,36.00,0.010000
85500,0.00,49.43,40.46,74.06,36.97,0.010000
86000,0.00,43.78,36.24,78.21,40.38,0.010000
86500,0.00,44.12,42.21,79.41,36.40,0.010000
87000,0.00,44.06,42.21,84.15,30.12,0.010000
87500,0.00,43.60,42.62,76.54,35.77,0.010000
88000,0.00,46.06,43.62,75.71,35.16,0.010000
88500,0.00,44.30,44.31,73.86,36.26,0.010000
89000,0.00,40.68,42.51,75.70,36.05,0.010000
89500,0.00,45.14,37.82,77.69,40.30,0.010000
90000,0.00,40.68,37.16,79.09,41.31,0.010000
90500,0.00,43.13,41.38,75.20,39.68,0.010000
91000,0.00,44.62,37.35,77.90,37.04,0.010000
91500,0.00,46.10,40.42,78.57,38.58,0.010000
92000,0.00,42.04,38.72,78.71,38.52,0.010000
92500,0.00,41.37,47.76,76.62,36.99,0.010000
93000,0.00,38.19,41.22,81.01,38.27,0.010000
93500,0.00,45.34,41.37,76.59,36.32,0.010000
94000,0.00,45.06,40.00,76.81,34.87,0.010000
94500,0.00,44.25,40.48,80.17,37.14,0.010000
95000,0.00,46.06,44.17,77.12,35.19,0.010000
95500,0.00,39.33,42.68,77.38,40.37,0.010000
96000,0.00,47.96,39.68,73.03,39.92,0.010000
96500,0.00,42.01,45.30,77.39,38.58,0.010000
97000,0.00,44.73,41.90,76.84,33.19,0.010000
97500,0.00,44.39,41.90,75.68,37.36,0.010000
98000,0.00,40.60,40.16,80.65,39.05,0.010000
98500,0.00,44.30,39.57,76.28,36.68,0.010000
99000,0.00,41.74,42.91,78.42,38.15,0.010000
99500,0.00,42.63,39.00,79.59,39.54,0.010000
100000,0.00,44.20,42.35,78.66,35.07,0.010000
