Episode,RL_Agent,Bot Honest,Bot Challenger,Epsilon
500,0.00,73.80,26.20,0.886454
1000,0.00,69.20,30.80,0.783377
1500,0.00,63.60,36.40,0.687133
2000,0.00,62.00,38.00,0.589533
2500,0.00,50.40,49.60,0.488894
3000,0.00,46.00,53.60,0.378936
3500,0.00,40.80,56.40,0.274143
4000,0.00,38.80,45.00,0.179412
4500,0.00,26.40,39.20,0.109354
5000,0.00,20.60,29.40,0.063354
5500,0.00,22.20,22.80,0.036478
6000,0.00,16.20,25.20,0.020317
6500,0.00,14.40,26.80,0.011354
7000,0.00,18.40,23.60,0.010000
7500,0.00,24.00,22.60,0.010000
8000,0.00,31.60,22.20,0.010000
8500,0.00,23.00,26.20,0.010000
9000,0.00,14.60,27.20,0.010000
9500,0.00,14.80,23.60,0.010000
10000,0.00,12.20,25.20,0.010000
10500,0.00,14.40,29.00,0.010000
11000,0.00,24.20,26.80,0.010000
11500,0.00,16.00,25.80,0.010000
12000,0.00,22.20,20.20,0.010000
12500,0.00,10.80,24.20,0.010000
13000,0.00,6.20,17.60,0.010000
13500,0.00,3.60,23.60,0.010000
14000,0.00,3.60,24.80,0.010000
14500,0.00,5.40,30.20,0.010000
15000,0.00,12.00,30.40,0.010000
15500,0.00,10.40,30.00,0.010000
16000,0.00,11.00,32.40,0.010000
16500,0.00,9.40,33.40,0.010000
17000,0.00,4.40,28.20,0.010000
17500,0.00,7.60,22.20,0.010000
18000,0.00,5.60,31.40,0.010000
18500,0.00,5.20,29.00,0.010000
19000,0.00,6.40,35.40,0.010000
19500,0.00,7.20,37.00,0.010000
20000,0.00,8.00,33.20,0.010000
20500,0.00,7.60,31.60,0.010000
21000,0.00,4.80,36.60,0.010000
21500,0.00,3.80,35.40,0.010000
22000,0.00,3.40,40.00,0.010000
22500,0.00,5.40,39.00,0.010000
23000,0.00,3.40,39.00,0.010000
23500,0.00,4.20,35.60,0.010000
24000,0.00,4.40,33.20,0.010000
24500,0.00,4.40,29.40,0.010000
25000,0.00,2.40,27.80,0.010000
25500,0.00,2.80,36.40,0.010000
26000,0.00,3.00,33.40,0.010000
26500,0.00,2.60,25.40,0.010000
27000,0.00,2.60,23.20,0.010000
27500,0.00,3.20,27.80,0.010000
28000,0.00,2.20,34.40,0.010000
28500,0.00,1.60,31.80,0.010000
29000,0.00,1.80,36.00,0.010000
29500,0.00,1.20,33.60,0.010000
30000,0.00,2.20,32.40,0.010000
30500,0.00,2.80,34.80,0.010000
31000,0.00,3.80,36.40,0.010000
31500,0.00,2.00,30.00,0.010000
32000,0.00,3.00,35.60,0.010000
32500,0.00,4.20,28.00,0.010000
33000,0.00,2.80,42.80,0.010000
33500,0.00,4.20,38.40,0.010000
34000,0.00,2.00,45.20,0.010000
34500,0.00,3.40,54.80,0.010000
35000,0.00,4.40,55.60,0.010000
35500,0.00,0.80,64.60,0.010000
