Episode,RL_Agent,Bot 80/20,Bot 1/3,Bot Honest,Bot 60/40,Epsilon
500,1.80,51.27,37.19,75.67,30.12,0.824971
1000,0.60,51.68,32.77,77.32,33.73,0.689963
1500,2.80,51.20,30.08,75.98,35.60,0.572144
2000,2.80,52.70,31.89,78.97,29.25,0.476842
2500,4.60,49.63,33.60,77.59,31.45,0.399027
3000,7.60,41.57,34.01,78.35,32.58,0.336091
3500,5.80,43.15,34.13,78.57,33.09,0.282010
4000,6.60,47.41,29.08,79.05,30.61,0.237502
4500,7.80,42.21,34.87,75.00,30.31,0.200505
5000,8.40,41.89,29.08,74.81,34.96,0.168992
5500,6.80,45.69,31.18,76.19,32.81,0.142575
6000,6.00,47.73,30.13,79.76,29.60,0.120505
6500,10.20,45.60,29.51,74.49,31.18,0.102255
7000,10.80,38.59,34.26,79.28,26.46,0.087653
7500,10.20,45.74,31.33,69.73,30.24,0.074778
8000,12.20,47.04,27.46,70.20,28.14,0.063974
8500,9.80,45.68,29.71,72.28,29.88,0.054426
9000,8.20,42.91,32.14,74.90,33.33,0.046604
9500,8.00,50.94,29.88,74.58,27.95,0.039773
10000,8.80,46.72,31.34,72.52,29.20,0.034108
10500,9.80,43.90,33.89,74.23,27.06,0.029164
11000,9.20,38.84,36.03,78.26,28.29,0.024963
11500,10.40,44.13,33.98,77.69,24.31,0.021376
12000,9.60,43.18,27.94,74.90,33.88,0.018405
12500,8.40,41.76,33.63,71.11,33.33,0.015708
13000,6.00,49.06,28.26,73.90,30.74,0.013457
13500,6.20,52.21,31.50,74.90,26.89,0.011496
14000,9.80,43.67,33.99,74.90,27.76,0.010000
14500,11.40,42.98,28.07,70.54,36.04,0.010000
15000,9.60,40.65,34.71,71.43,33.85,0.010000
15500,7.60,42.98,32.78,71.86,35.82,0.010000
16000,10.00,39.84,33.83,75.50,30.96,0.010000
16500,9.20,42.53,36.91,72.84,30.42,0.010000
17000,8.80,47.79,33.74,74.30,27.03,0.010000
17500,7.00,40.78,40.61,74.06,31.84,0.010000
18000,7.80,44.90,31.71,75.69,31.10,0.010000
18500,8.60,44.76,33.74,73.09,31.13,0.010000
19000,5.80,43.35,32.76,75.76,33.61,0.010000
19500,8.20,44.73,32.58,75.89,30.49,0.010000
20000,11.40,44.35,33.70,73.14,26.58,0.010000
20500,12.20,43.80,31.40,71.74,31.48,0.010000
21000,10.00,41.77,32.65,74.70,31.13,0.010000
21500,11.40,38.18,31.02,73.97,34.45,0.010000
22000,11.60,46.90,32.36,74.49,25.78,0.010000
22500,6.00,40.65,31.60,77.37,33.48,0.010000
23000,7.00,45.31,35.10,75.88,28.10,0.010000
23500,7.80,41.96,35.41,75.85,32.94,0.010000
24000,6.60,44.05,32.32,75.10,36.07,0.010000
24500,6.20,49.20,32.09,76.40,29.74,0.010000
25000,7.60,47.35,31.20,73.90,32.42,0.010000
25500,8.40,44.72,33.98,75.31,29.76,0.010000
26000,10.80,43.50,29.33,73.96,28.79,0.010000
26500,11.20,39.54,29.53,73.73,36.44,0.010000
27000,11.60,38.52,32.34,73.06,29.60,0.010000
27500,12.40,40.45,35.46,71.66,27.23,0.010000
28000,17.00,43.50,32.32,72.05,23.16,0.010000
28500,10.20,44.03,34.71,70.83,27.49,0.010000
29000,14.80,38.87,29.96,71.83,29.51,0.010000
29500,9.40,48.79,29.92,73.26,28.00,0.010000
30000,10.40,43.73,31.02,72.69,31.28,0.010000
30500,14.60,41.53,28.63,72.33,28.11,0.010000
31000,14.40,43.85,29.96,72.87,25.57,0.010000
31500,11.40,39.60,32.41,74.49,31.10,0.010000
32000,11.20,43.91,31.71,73.36,30.71,0.010000
32500,10.20,42.97,31.51,73.15,30.27,0.010000
33000,8.20,45.37,31.50,76.17,30.80,0.010000
33500,9.40,45.28,32.51,78.09,25.00,0.010000
34000,10.40,40.08,35.61,71.76,30.13,0.010000
34500,12.80,39.06,26.98,76.60,33.46,0.010000
35000,7.40,46.26,33.47,71.65,32.95,0.010000
35500,11.80,47.28,31.94,72.43,25.49,0.010000
36000,11.00,40.53,32.63,73.49,29.48,0.010000
36500,13.80,42.13,31.42,82.76,25.10,0.010000
37000,14.40,46.24,29.80,69.08,25.00,0.010000
37500,15.80,35.51,27.13,74.90,29.64,0.010000
38000,13.60,40.61,32.35,70.77,26.09,0.010000
38500,10.20,43.51,33.33,73.76,27.38,0.010000
39000,12.40,41.94,30.95,72.88,31.44,0.010000
39500,9.40,40.57,33.85,75.88,29.29,0.010000
40000,12.40,43.70,29.96,69.92,27.65,0.010000
40500,12.80,44.02,33.98,72.16,24.21,0.010000
41000,12.40,40.23,32.76,74.90,27.80,0.010000
