Episode,RL_Agent,Bot Honest,Bot Challenger,Epsilon
500,0.00,77.80,22.20,0.990395
1000,0.00,73.00,27.00,0.980667
1500,0.00,76.60,23.40,0.971080
2000,0.00,79.40,20.60,0.961645
2500,0.00,78.20,21.80,0.952115
3000,0.00,80.40,19.60,0.942839
3500,0.00,81.20,18.80,0.933733
4000,0.00,79.80,20.20,0.924778
4500,0.00,78.40,21.60,0.915727
5000,0.00,80.20,19.80,0.906856
5500,0.00,81.00,19.00,0.898047
6000,0.00,83.00,17.00,0.889250
6500,0.00,82.40,17.60,0.880562
7000,0.00,82.40,17.60,0.871927
7500,0.00,81.60,18.40,0.863496
8000,0.00,83.80,16.20,0.855132
8500,0.00,81.60,18.40,0.846818
9000,0.00,81.60,18.40,0.838636
9500,0.00,82.00,18.00,0.830476
10000,0.00,84.40,15.60,0.822499
10500,0.00,86.80,13.20,0.814665
11000,0.00,84.00,16.00,0.806782
11500,0.00,84.60,15.40,0.799050
12000,0.00,84.00,16.00,0.791327
12500,0.00,81.40,18.60,0.783530
13000,0.00,86.00,14.00,0.776009
13500,0.00,84.60,15.40,0.768484
14000,0.00,89.00,11.00,0.761209
14500,0.00,84.40,15.60,0.753858
15000,0.00,84.00,16.00,0.746608
15500,0.00,84.00,16.00,0.739384
16000,0.00,86.40,13.60,0.732331
16500,0.00,84.60,15.40,0.725317
17000,0.00,86.40,13.60,0.718310
17500,0.00,82.60,17.40,0.711332
18000,0.00,88.20,11.80,0.704498
18500,0.00,86.40,13.60,0.697803
19000,0.00,87.20,12.80,0.691022
19500,0.00,87.20,12.80,0.684349
20000,0.00,86.80,13.20,0.677701
20500,0.00,89.80,10.20,0.671193
21000,0.00,88.80,11.20,0.664764
21500,0.00,87.80,12.20,0.658330
22000,0.00,86.60,13.40,0.651928
22500,0.00,89.80,10.20,0.645757
23000,0.00,87.80,12.20,0.639555
23500,0.00,89.60,10.40,0.633399
24000,0.00,88.40,11.60,0.627300
24500,0.00,88.60,11.40,0.621340
25000,0.00,90.00,10.00,0.615353
25500,0.00,87.60,12.40,0.609462
26000,0.00,88.40,11.60,0.603611
26500,0.00,89.40,10.60,0.597763
27000,0.00,90.40,9.60,0.592055
27500,0.00,90.40,9.60,0.586332
28000,0.00,91.20,8.80,0.580672
28500,0.00,91.60,8.40,0.575127
29000,0.00,90.20,9.80,0.569636
29500,0.00,92.60,7.40,0.564182
30000,0.00,90.60,9.40,0.558856
30500,0.00,89.80,10.20,0.553504
31000,0.00,92.80,7.20,0.548287
31500,0.00,90.20,9.80,0.543038
32000,0.00,91.80,8.20,0.537833
32500,0.00,93.00,7.00,0.532717
33000,0.00,92.80,7.20,0.527639
