Episode,RL_Agent,Bot 80/20,Bot 1/3,Bot Honest,Bot 60/40
500,0.40,50.77,35.57,76.54,36.07
1000,1.20,46.03,34.63,80.38,32.30
1500,0.60,50.36,33.87,81.63,30.57
2000,0.20,45.96,36.68,80.16,34.94
2500,0.60,48.74,37.71,82.01,30.65
3000,0.20,47.30,36.75,77.27,38.89
3500,0.20,45.31,44.81,76.02,34.70
4000,0.20,47.49,39.85,79.48,35.86
4500,0.00,44.80,39.43,78.52,33.76
5000,0.40,49.79,36.30,81.12,35.10
5500,0.20,44.87,41.81,80.00,33.46
6000,0.20,45.96,38.70,82.30,36.10
6500,0.20,44.14,37.69,75.98,40.87
7000,0.00,46.64,39.51,81.78,34.84
7500,0.00,48.80,35.92,79.39,33.33
8000,0.00,45.67,40.18,79.41,31.20
8500,0.00,49.21,37.45,80.38,30.61
9000,0.00,50.81,40.23,76.25,34.38
9500,0.00,48.84,41.87,78.48,32.82
10000,0.00,44.62,38.52,81.47,32.91
10500,0.00,51.21,43.80,76.23,33.21
11000,0.00,45.49,38.43,76.77,39.15
11500,0.00,43.41,39.66,80.95,35.57
12000,0.00,44.02,42.08,82.23,33.20
12500,0.20,41.27,40.82,79.38,36.61
13000,0.00,48.65,35.96,83.56,36.14
13500,0.00,46.18,38.61,83.33,36.58
14000,0.00,43.48,48.00,79.92,31.67
14500,0.00,45.66,41.28,77.47,34.82
15000,0.00,42.49,43.02,80.54,32.94
15500,0.00,43.09,42.17,78.66,35.71
16000,0.00,47.79,40.00,77.01,33.96
16500,0.00,45.59,34.55,80.89,38.98
17000,0.00,45.74,40.25,78.08,35.51
17500,0.00,47.41,40.15,78.00,34.75
18000,0.00,46.27,40.30,82.99,31.36
18500,0.00,42.97,42.91,79.50,35.25
19000,0.00,48.23,37.84,80.22,27.35
19500,0.00,46.55,40.44,82.38,31.75
20000,0.00,53.25,38.43,76.56,31.60
20500,0.00,46.25,42.25,76.74,33.61
21000,0.00,42.91,43.39,79.44,34.30
21500,0.00,48.07,35.80,79.47,35.22
22000,0.00,46.10,39.60,79.01,35.71
22500,0.00,47.54,38.31,76.65,36.65
23000,0.00,44.44,42.44,82.44,27.90
23500,0.00,46.96,44.06,80.43,32.12
24000,0.00,44.62,40.33,82.26,33.33
24500,0.00,49.79,35.90,77.44,34.75
25000,0.00,48.31,38.98,84.98,27.65
25500,0.00,49.58,44.31,79.68,27.13
26000,0.00,43.06,39.42,83.95,35.58
26500,0.00,43.80,38.16,82.39,28.70
27000,0.00,46.90,38.63,78.85,33.73
27500,0.00,41.74,42.63,77.41,35.34
28000,0.00,47.95,43.67,72.69,34.66
28500,0.00,40.85,40.54,82.19,37.07
29000,0.00,44.09,40.08,82.81,32.02
29500,0.00,49.41,38.46,77.86,32.13
30000,0.00,44.77,44.58,77.56,32.96
30500,0.00,47.10,40.00,78.71,34.08
31000,0.00,43.92,39.32,79.54,35.32
31500,0.00,46.54,38.52,77.73,38.36
32000,0.00,42.46,44.40,79.45,33.06
32500,0.00,48.86,38.87,80.41,31.42
33000,0.00,48.44,38.08,77.11,37.59
33500,0.00,47.64,41.26,81.60,29.44
34000,0.00,45.56,35.27,79.35,35.32
34500,0.00,48.18,39.83,78.91,28.93
35000,0.00,48.81,36.82,78.85,33.48
35500,0.00,48.36,39.53,81.51,32.69
36000,0.00,49.79,38.93,77.36,31.78
36500,0.20,46.52,39.15,82.17,31.10
37000,0.00,43.51,40.71,83.06,33.46
37500,0.00,48.66,41.80,81.33,28.93
38000,0.00,47.88,38.46,80.54,31.22
38500,0.00,48.80,41.74,81.42,30.29
39000,0.00,44.53,45.56,80.99,30.16
39500,0.00,44.03,43.32,80.61,29.96
40000,0.00,45.38,39.11,79.75,37.65
40500,0.00,44.49,38.33,80.41,37.55
41000,0.00,46.01,40.82,81.85,31.15
41500,0.00,44.98,44.03,77.99,31.73
42000,0.00,44.81,41.09,81.15,32.46
42500,0.00,50.84,36.84,82.59,31.34
43000,0.00,47.60,42.80,77.96,31.45
43500,0.00,48.07,41.46,80.31,29.77
44000,0.00,44.24,35.04,84.78,38.76
44500,0.00,46.18,40.23,78.14,35.22
45000,0.00,39.92,41.88,79.55,35.47
45500,0.00,42.86,42.80,79.44,35.41
46000,0.00,45.41,41.18,78.52,34.62
46500,0.00,49.39,39.77,76.37,36.22
47000,0.00,44.64,35.59,78.93,37.55
47500,0.00,44.44,40.96,79.35,35.71
48000,0.00,44.40,42.25,81.57,30.89
48500,0.00,43.07,43.80,80.09,35.66
49000,0.00,49.19,36.44,77.01,35.69
49500,0.00,45.27,42.41,80.91,32.82
50000,0.00,39.69,43.80,80.47,35.10
