Episode,RL_Agent,Bot Honest,Bot Challenger,Epsilon
79500,0.00,13.80,84.60,0.093023
80000,0.00,15.80,83.60,0.092840
80500,0.00,14.00,85.20,0.092653
81000,0.00,14.60,84.40,0.092464
81500,0.00,13.60,83.80,0.092282
82000,0.00,19.80,78.60,0.092099
82500,0.00,15.20,83.60,0.091919
83000,0.00,15.40,83.80,0.091737
83500,0.00,18.40,81.20,0.091552
84000,0.00,19.20,80.80,0.091363
84500,0.00,17.20,82.60,0.091177
85000,0.00,15.00,84.80,0.090992
85500,0.00,15.80,83.60,0.090803
86000,0.00,17.80,81.80,0.090618
86500,0.00,18.20,81.20,0.090434
87000,0.00,18.00,81.80,0.090254
87500,0.00,19.20,80.80,0.090074
88000,0.00,18.40,81.40,0.089890
88500,0.00,18.80,81.20,0.089704
89000,0.00,20.00,80.00,0.089521
89500,0.00,22.20,77.40,0.089336
90000,0.00,21.00,78.80,0.089147
90500,0.00,17.00,83.00,0.088961
91000,0.00,15.60,84.40,0.088780
91500,0.00,18.00,82.00,0.088594
92000,0.00,19.20,80.40,0.088409
92500,0.00,14.80,85.20,0.088223
93000,0.00,17.80,82.00,0.088040
93500,0.00,19.00,81.00,0.087858
94000,0.00,19.00,80.80,0.087679
94500,0.00,19.60,80.40,0.087502
95000,0.00,16.60,83.40,0.087325
95500,0.00,17.00,82.80,0.087146
96000,0.00,17.80,82.00,0.086967
96500,0.00,18.60,81.40,0.086793
97000,0.00,15.60,84.40,0.086614
97500,0.00,18.60,81.20,0.086437
98000,0.00,16.60,82.60,0.086254
98500,0.00,23.60,76.20,0.086074
99000,0.00,21.40,78.20,0.085889
99500,0.00,19.60,79.80,0.085698
100000,0.00,18.40,81.00,0.085507
100500,0.00,17.00,82.00,0.085313
101000,0.00,22.00,76.00,0.085118
101500,0.00,23.20,76.40,0.084928
102000,0.00,17.40,82.20,0.084738
102500,0.00,18.60,81.40,0.084543
103000,0.00,17.60,82.00,0.084349
103500,0.00,19.20,79.80,0.084147
104000,0.00,17.40,81.80,0.083947
104500,0.00,19.00,79.80,0.083747
105000,0.00,18.40,80.80,0.083552
105500,0.00,23.20,76.00,0.083350
106000,0.00,21.60,77.80,0.083144
106500,0.00,24.60,74.80,0.082943
107000,0.00,18.60,81.20,0.082745
107500,0.00,20.60,78.80,0.082545
108000,0.00,18.00,81.40,0.082345
108500,0.00,20.00,78.80,0.082148
109000,0.00,17.60,81.60,0.081962
109500,0.00,19.40,80.20,0.081772
110000,0.00,17.40,82.40,0.081581
110500,0.00,18.40,81.00,0.081392
111000,0.00,21.20,78.40,0.081209
111500,0.00,22.00,77.40,0.081020
112000,0.00,20.00,79.60,0.080841
112500,0.00,17.60,82.20,0.080666
