Episode,RL_Agent,Bot 80/20,Bot 1/3,Bot Honest,Bot 60/40,Epsilon
500,1.60,49.08,32.20,79.82,37.45,0.939098
1000,1.40,50.57,31.62,77.14,36.71,0.882678
1500,2.20,52.76,36.10,78.15,29.21,0.827480
2000,0.80,51.43,32.94,81.67,34.23,0.777221
2500,0.40,49.28,34.31,78.21,34.21,0.731333
3000,0.80,50.00,36.16,79.77,29.41,0.688076
3500,1.80,46.77,36.08,75.86,35.59,0.648417
4000,0.60,54.14,37.45,72.05,33.06,0.609665
4500,0.80,51.26,35.91,79.85,28.51,0.574996
5000,1.20,49.79,36.90,78.38,28.86,0.540345
5500,1.20,50.53,34.02,79.42,31.47,0.509089
6000,0.60,49.21,33.73,80.57,34.15,0.479255
6500,0.40,49.39,37.70,81.03,30.62,0.451377
7000,1.80,52.22,29.91,77.02,33.87,0.424405
7500,1.60,54.01,36.40,79.11,32.13,0.399711
8000,1.60,50.95,36.09,78.63,32.49,0.377197
8500,0.80,51.12,32.20,80.50,33.73,0.356054
9000,2.00,46.74,35.04,82.27,34.40,0.335728
9500,0.80,48.15,34.23,78.17,36.73,0.316468
10000,1.00,49.39,36.19,81.99,26.81,0.298786
10500,0.60,48.35,36.28,78.99,30.08,0.281786
11000,0.20,49.59,33.46,82.45,34.41,0.265714
11500,1.00,46.48,36.19,81.40,34.29,0.250175
12000,0.80,53.14,37.65,77.33,31.66,0.236122
12500,0.00,52.12,35.04,79.67,32.52,0.222408
13000,0.60,51.34,38.13,79.67,29.88,0.209711
13500,0.80,48.31,33.47,81.40,33.33,0.197842
14000,0.80,54.47,32.93,75.57,33.07,0.186300
14500,0.40,46.22,33.33,79.27,34.57,0.175745
15000,0.40,49.80,42.34,78.17,28.24,0.166131
15500,0.80,45.85,36.69,77.29,37.05,0.157141
16000,0.40,49.43,37.55,79.92,31.65,0.148731
16500,0.80,48.46,35.29,78.39,37.97,0.140373
17000,0.60,49.12,34.96,83.94,31.13,0.132378
17500,0.40,53.14,35.27,78.93,28.28,0.125314
18000,0.40,49.56,36.84,79.77,32.67,0.118439
18500,0.20,53.36,34.54,78.85,29.72,0.111995
19000,0.00,50.61,34.80,80.83,35.00,0.105926
19500,0.40,52.34,29.84,82.68,36.23,0.100004
20000,0.20,50.41,38.59,78.52,28.57,0.094383
20500,1.40,50.21,36.70,83.33,29.46,0.089230
21000,0.40,50.21,34.41,80.62,33.46,0.084385
21500,1.00,51.24,36.36,77.87,33.60,0.079810
22000,0.20,50.53,37.05,76.25,34.96,0.075333
22500,0.20,50.00,36.84,83.12,31.50,0.071257
23000,0.60,51.32,37.75,79.07,30.94,0.067354
23500,0.40,53.82,35.71,76.50,35.47,0.063560
24000,0.20,48.97,34.66,80.82,35.74,0.059949
24500,1.40,48.15,35.32,82.07,30.33,0.056614
25000,0.80,48.25,34.35,80.53,32.27,0.053609
25500,0.20,48.55,36.28,83.74,31.36,0.050589
26000,0.00,54.58,38.02,76.96,33.71,0.047780
26500,0.20,50.62,40.33,77.13,31.01,0.045137
27000,0.60,53.31,32.82,76.98,33.76,0.042706
27500,0.60,46.84,34.38,79.60,38.13,0.040325
28000,1.00,49.41,39.92,79.18,30.30,0.038086
28500,0.60,50.79,31.97,79.57,37.83,0.035960
29000,0.40,51.77,36.86,74.81,35.63,0.034028
29500,0.20,49.40,35.56,81.89,29.39,0.032228
30000,0.40,54.58,32.55,76.86,34.00,0.030445
30500,0.80,48.57,40.08,80.43,31.05,0.028794
31000,0.20,50.00,36.58,80.00,33.20,0.027248
31500,0.20,49.00,35.83,78.00,36.03,0.025717
32000,0.00,53.99,33.07,79.57,35.60,0.024306
32500,1.00,44.61,37.01,81.59,36.13,0.022959
33000,0.40,45.86,40.94,80.08,32.22,0.021720
33500,0.20,50.86,36.79,80.42,34.27,0.020540
34000,0.40,50.00,38.52,76.56,33.59,0.019460
34500,0.20,49.39,36.22,79.84,35.16,0.018391
35000,0.20,52.21,33.46,80.93,33.19,0.017405
35500,0.00,49.41,36.20,76.63,34.98,0.016511
36000,0.00,50.74,34.41,80.69,35.60,0.015607
36500,0.20,53.33,29.41,81.58,32.03,0.014759
37000,0.40,55.92,34.90,79.66,31.82,0.013960
37500,0.00,51.00,40.08,76.47,31.40,0.013215
38000,0.20,46.99,36.07,80.97,34.62,0.012476
38500,0.20,47.35,34.65,78.78,39.45,0.011765
39000,0.40,49.03,37.55,76.21,35.16,0.011136
39500,0.60,47.81,36.98,76.47,39.43,0.010521
40000,0.20,52.71,37.32,78.63,31.90,0.010000
40500,0.60,46.84,37.33,80.16,33.81,0.010000
41000,0.20,51.19,37.93,76.99,35.08,0.010000
41500,0.40,44.81,38.11,80.47,34.87,0.010000
42000,1.00,48.06,34.68,79.69,33.61,0.010000
42500,0.20,52.14,35.71,80.08,29.71,0.010000
43000,0.40,53.05,33.33,82.35,33.85,0.010000
43500,0.80,49.58,39.26,79.15,36.40,0.010000
44000,0.20,50.00,37.22,80.44,33.07,0.010000
44500,0.20,46.77,37.79,83.81,30.70,0.010000
45000,0.00,48.24,31.25,78.29,36.16,0.010000
45500,0.40,50.85,35.71,78.10,36.33,0.010000
46000,0.60,49.43,32.60,81.92,31.60,0.010000
46500,0.20,47.41,38.22,80.86,31.62,0.010000
47000,0.60,45.93,36.44,78.60,34.50,0.010000
47500,0.40,47.98,32.39,82.59,35.66,0.010000
48000,0.20,47.64,38.19,76.47,37.01,0.010000
48500,0.00,49.43,37.55,78.48,34.76,0.010000
49000,0.00,58.24,34.48,77.27,30.08,0.010000
49500,0.20,49.38,34.88,80.40,34.94,0.010000
50000,0.20,44.86,39.36,78.82,35.97,0.010000
50500,0.40,46.44,38.04,80.63,33.60,0.010000
51000,0.40,52.01,34.91,79.77,29.41,0.010000
51500,0.20,47.66,33.83,83.75,36.72,0.010000
52000,0.20,50.20,35.53,84.87,29.92,0.010000
52500,0.20,48.21,38.72,80.95,33.86,0.010000
53000,0.40,55.70,37.89,78.97,29.93,0.010000
53500,0.60,49.45,35.71,80.83,33.47,0.010000
54000,0.20,48.73,37.50,76.98,34.26,0.010000
54500,0.60,49.36,36.92,80.48,32.28,0.010000
55000,0.20,47.71,38.72,77.55,35.24,0.010000
55500,0.40,44.98,37.94,80.16,36.25,0.010000
56000,0.40,49.60,34.66,81.44,30.04,0.010000
56500,0.40,49.80,38.74,78.60,30.00,0.010000
57000,0.40,47.60,37.79,80.32,33.46,0.010000
57500,0.00,51.00,37.21,79.84,32.26,0.010000
58000,0.00,49.58,32.68,76.05,39.17,0.010000
58500,0.60,57.20,34.36,78.88,30.83,0.010000
59000,0.20,50.58,35.95,79.92,32.40,0.010000
59500,0.60,48.97,36.40,78.15,31.45,0.010000
60000,0.40,45.04,39.06,80.39,33.20,0.010000
60500,0.20,43.86,33.19,81.25,34.55,0.010000
61000,0.40,47.04,38.74,77.95,33.21,0.010000
61500,0.20,45.68,38.52,79.55,33.73,0.010000
62000,0.40,45.56,37.08,85.89,31.06,0.010000
62500,0.60,49.81,36.21,80.08,29.36,0.010000
63000,0.20,50.94,36.73,78.75,33.20,0.010000
63500,0.40,49.80,35.94,80.38,30.96,0.010000
64000,0.20,47.92,37.23,80.00,36.59,0.010000
64500,0.00,47.74,39.74,76.92,33.46,0.010000
65000,0.20,49.03,35.18,82.02,35.88,0.010000
65500,0.40,46.64,40.89,81.51,32.49,0.010000
66000,0.60,43.37,37.85,79.55,35.59,0.010000
66500,0.20,50.20,34.38,81.05,33.73,0.010000
67000,0.00,55.02,35.83,80.27,33.58,0.010000
67500,0.40,47.39,37.23,77.43,35.36,0.010000
68000,0.20,50.41,38.27,76.67,35.90,0.010000
68500,0.40,52.27,34.33,77.78,31.87,0.010000
69000,0.40,41.80,37.99,85.77,33.58,0.010000
