Episode,RL_Agent,Bot 80/20,Bot 1/3,Bot Honest,Bot 60/40,Epsilon
500,1.00,44.62,39.11,82.86,32.03,0.937700
1000,2.00,52.03,37.45,71.95,32.92,0.878776
1500,0.40,49.79,37.25,80.51,34.07,0.821309
2000,0.80,52.65,33.78,75.51,36.84,0.769707
2500,1.20,47.17,32.67,78.37,38.49,0.721823
3000,0.80,51.60,37.69,77.08,32.64,0.675693
3500,0.40,50.20,35.98,76.40,34.11,0.632509
4000,0.80,48.41,35.27,83.00,31.28,0.592161
4500,0.00,54.08,35.02,79.61,30.20,0.555631
5000,0.40,52.06,35.48,75.30,34.62,0.522499
5500,0.00,51.53,38.10,82.06,31.82,0.489524
6000,0.40,46.77,37.70,77.04,33.61,0.458550
6500,0.40,50.00,37.87,83.18,33.21,0.430543
7000,0.20,52.57,34.24,76.74,33.19,0.403771
7500,0.20,50.00,27.51,80.58,42.39,0.378417
8000,0.20,53.82,31.92,79.59,34.96,0.355908
8500,0.00,49.79,40.24,74.49,35.71,0.334264
9000,0.00,50.59,30.49,79.38,37.30,0.314551
9500,0.40,53.08,32.96,78.44,38.49,0.294978
10000,0.00,52.36,33.07,74.04,36.00,0.277534
10500,0.00,49.60,35.00,76.31,39.00,0.261288
11000,0.00,54.55,35.48,73.11,39.42,0.245558
11500,0.00,49.61,35.10,76.19,40.98,0.231290
12000,0.00,51.54,37.82,76.19,36.75,0.217528
12500,0.00,50.60,33.59,77.25,37.50,0.204726
13000,0.00,50.21,36.33,77.52,35.57,0.193205
13500,0.00,46.22,37.96,78.28,38.08,0.181657
14000,0.00,44.09,35.46,85.89,35.20,0.170858
14500,0.00,50.43,34.70,77.64,40.38,0.161231
15000,0.00,47.83,34.87,79.83,38.31,0.152079
15500,0.20,52.17,38.58,75.53,35.34,0.143027
16000,0.00,48.28,38.22,76.06,42.32,0.134651
16500,0.00,50.00,35.61,81.43,35.80,0.126964
17000,0.00,46.69,42.29,77.37,34.73,0.119837
17500,0.00,48.48,40.08,76.69,36.29,0.113142
18000,0.00,43.18,33.04,80.93,43.70,0.106977
18500,0.00,46.46,36.84,77.99,35.60,0.101100
19000,0.00,48.46,32.54,81.18,36.48,0.095507
19500,0.00,46.44,36.64,78.09,36.49,0.090264
20000,0.00,47.39,37.01,76.45,37.82,0.085106
20500,0.00,49.80,33.47,78.51,39.18,0.080470
21000,0.00,48.09,40.49,78.54,35.27,0.076088
21500,0.00,49.22,36.92,74.49,40.17,0.071980
22000,0.00,50.00,38.96,76.45,35.34,0.068098
