Episode,RL_Agent,Bot 80/20,Bot 1/3,Bot Honest,Bot 60/40
500,1.60,48.37,33.05,77.20,37.31
1000,1.20,47.72,37.21,80.74,32.30
1500,1.20,48.29,35.68,78.12,28.27
2000,1.20,56.61,35.77,78.43,26.07
2500,0.60,50.20,36.63,82.16,30.71
3000,1.40,48.21,31.35,79.92,36.76
3500,1.80,53.57,36.53,74.15,32.78
4000,3.60,50.62,31.82,75.72,36.00
4500,2.80,53.28,34.41,77.96,30.30
5000,3.40,48.77,31.78,78.76,32.57
5500,3.40,56.13,29.74,75.60,28.92
6000,2.60,55.81,31.42,75.65,27.35
6500,7.00,49.23,36.72,71.73,28.74
7000,4.20,48.81,33.88,77.48,28.28
7500,5.60,46.85,32.95,81.10,26.07
8000,8.20,42.11,30.36,79.53,29.69
8500,6.60,45.96,33.87,80.23,25.20
9000,7.60,46.77,31.05,75.00,29.46
9500,9.20,45.64,31.78,76.25,29.50
10000,9.80,49.03,28.35,81.28,27.00
10500,7.60,50.63,33.73,73.46,25.90
11000,9.40,42.99,32.48,78.41,26.33
11500,8.80,50.21,31.30,74.63,22.59
12000,11.40,44.72,29.81,79.08,25.60
12500,10.00,46.67,33.05,73.58,27.00
13000,11.40,47.21,25.63,72.73,33.21
13500,10.40,44.18,32.14,80.95,25.37
14000,12.20,45.56,22.80,77.29,29.48
14500,13.00,45.49,22.82,73.53,27.16
15000,13.60,42.26,28.20,74.90,28.23
15500,12.20,45.27,29.34,70.22,27.43
16000,14.80,42.75,23.72,70.04,33.88
16500,16.00,38.87,34.22,71.81,27.00
17000,14.00,39.06,27.78,75.57,28.06
17500,15.20,40.56,30.21,71.98,25.87
18000,14.40,42.36,29.80,72.22,23.26
18500,14.20,36.51,29.34,79.34,27.94
19000,13.60,45.16,28.26,71.53,23.79
19500,19.60,33.33,20.70,77.57,26.11
20000,13.80,41.09,32.20,73.25,25.86
20500,13.60,42.34,28.57,74.23,25.66
21000,13.60,39.91,30.29,75.00,23.81
21500,17.20,44.03,23.11,70.21,22.36
22000,15.80,41.10,32.10,71.95,25.09
22500,18.20,38.74,31.27,75.98,21.24
23000,16.20,41.00,27.04,73.45,21.74
23500,15.40,43.22,29.92,68.63,26.67
24000,18.00,33.95,29.25,76.00,23.89
24500,17.00,40.60,28.36,74.40,23.39
25000,16.80,40.16,30.77,69.78,23.23
25500,15.20,40.08,30.24,70.42,29.62
26000,17.00,42.06,24.06,73.28,29.30
26500,17.00,39.92,30.47,74.32,26.14
27000,20.20,36.86,29.58,70.64,25.31
27500,17.00,39.42,28.92,70.90,23.97
28000,16.60,41.00,32.43,70.16,23.62
28500,15.60,41.27,23.91,74.81,25.00
29000,14.20,42.41,29.03,72.39,26.15
29500,16.00,36.44,28.28,71.91,28.51
30000,15.80,39.64,31.70,76.42,22.94
30500,17.00,40.32,31.93,69.52,20.83
31000,17.00,39.51,26.83,73.06,27.44
31500,16.20,42.97,28.88,72.56,20.55
32000,18.00,40.60,27.09,73.46,21.96
32500,17.40,39.55,26.32,77.63,25.29
33000,15.60,43.93,26.67,70.68,25.42
33500,18.00,36.33,29.33,73.12,23.29
34000,17.80,41.53,27.44,70.87,23.28
34500,17.60,37.28,28.75,75.31,26.28
35000,21.20,35.56,30.74,70.37,20.43
35500,19.40,46.30,26.58,67.51,22.68
36000,17.20,37.02,26.45,73.72,24.50
36500,21.60,37.15,24.36,71.98,21.88
37000,19.20,39.92,26.92,68.68,24.05
37500,19.00,37.91,33.33,67.93,23.38
38000,19.20,37.89,32.00,69.23,25.00
38500,22.00,37.29,26.34,67.45,24.70
39000,16.20,39.68,32.53,68.27,27.45
39500,20.00,39.66,29.08,71.72,21.27
40000,20.00,42.46,28.41,67.10,24.39
40500,20.80,35.60,28.68,73.36,27.31
41000,17.60,39.13,29.72,68.68,25.39
41500,19.80,32.65,34.08,71.43,24.90
42000,17.20,40.76,31.37,69.72,24.22
42500,14.40,36.64,33.19,71.27,26.74
43000,16.40,39.91,28.89,71.43,28.79
43500,17.20,36.78,29.01,70.27,27.85
44000,16.20,42.17,26.46,69.96,26.25
44500,23.00,33.47,27.42,72.18,21.48
45000,19.60,36.02,31.72,71.49,24.52
45500,20.00,38.91,25.85,69.58,26.97
46000,18.00,36.44,27.89,72.28,24.80
46500,15.00,43.46,28.20,70.25,23.65
47000,20.60,40.85,27.54,68.97,22.58
47500,19.00,40.22,28.91,68.46,24.57
48000,17.40,41.01,26.22,72.45,20.69
48500,22.40,39.20,27.52,67.78,22.53
49000,20.40,37.18,28.75,73.50,21.69
49500,21.40,40.00,28.23,67.93,23.70
50000,17.60,45.74,25.77,71.64,20.08
