Episode,RL_Agent,Bot 80/20,Bot 1/3,Bot Honest,Bot 60/40,Epsilon
56500,0.00,47.08,38.37,82.19,37.59,0.010000
57000,0.00,49.80,33.33,79.13,36.84,0.010000
57500,0.00,46.46,35.44,81.17,38.15,0.010000
58000,0.00,49.80,36.06,77.57,34.10,0.010000
58500,0.00,52.10,35.11,78.72,37.55,0.010000
59000,0.40,50.61,38.52,76.45,35.16,0.010000
59500,0.00,56.22,33.88,78.04,30.68,0.010000
60000,0.00,49.38,35.97,79.46,34.27,0.010000
60500,0.00,46.41,32.00,84.98,36.54,0.010000
61000,0.00,48.10,38.72,81.27,32.11,0.010000
61500,0.00,53.47,38.31,79.71,27.59,0.010000
62000,0.00,50.61,39.53,78.54,34.47,0.010000
62500,0.00,53.47,34.77,78.93,31.09,0.010000
63000,0.00,46.13,30.51,82.04,41.13,0.010000
63500,0.00,48.79,35.11,80.47,34.62,0.010000
64000,0.00,49.22,33.46,81.07,36.93,0.010000
64500,0.00,50.41,38.72,76.72,37.31,0.010000
65000,0.00,41.42,35.27,83.33,36.40,0.010000
65500,0.00,52.44,36.23,79.03,34.26,0.010000
66000,0.00,44.17,38.75,78.78,33.88,0.010000
66500,0.00,48.09,41.63,80.33,31.44,0.010000
67000,0.00,50.62,33.61,76.95,36.14,0.010000
67500,0.00,47.39,33.33,79.45,39.51,0.010000
68000,0.00,47.29,36.49,79.42,36.82,0.010000
68500,0.00,46.81,37.61,80.51,32.21,0.010000
69000,0.00,45.53,35.22,81.32,37.16,0.010000
69500,0.00,48.41,36.97,77.69,35.91,0.010000
70000,0.00,48.91,40.77,77.42,34.22,0.010000
70500,0.00,46.50,38.28,85.37,37.15,0.010000
71000,0.00,48.25,41.02,78.63,31.80,0.010000
71500,0.00,44.49,36.06,82.17,36.29,0.010000
72000,0.00,47.30,30.57,78.87,37.40,0.010000
72500,0.00,51.25,31.94,79.85,35.47,0.010000
73000,0.00,50.41,40.67,76.99,32.93,0.010000
73500,0.00,49.07,36.54,83.84,33.47,0.010000
74000,0.00,50.41,36.14,79.20,34.63,0.010000
74500,0.00,47.56,40.91,81.82,33.81,0.010000
75000,0.00,53.54,37.30,75.10,33.33,0.010000
75500,0.00,46.32,33.05,78.87,37.83,0.010000
76000,0.00,51.14,33.86,80.49,33.89,0.010000
76500,0.00,50.23,37.50,77.57,32.27,0.010000
77000,0.00,45.45,39.57,78.60,33.33,0.010000
77500,0.00,47.24,31.48,80.56,33.06,0.010000
78000,0.00,42.80,40.26,81.50,34.88,0.010000
78500,0.00,45.42,39.51,81.07,35.77,0.010000
79000,0.00,49.16,36.50,80.83,35.91,0.010000
79500,0.00,46.18,39.60,82.63,33.05,0.010000
80000,0.00,52.14,34.02,77.99,32.03,0.010000
80500,0.00,49.40,37.00,77.74,33.59,0.010000
81000,0.00,48.68,34.41,78.87,36.15,0.010000
81500,0.00,50.21,35.36,76.92,36.55,0.010000
82000,0.00,46.77,39.46,82.10,35.50,0.010000
82500,0.00,52.22,35.02,78.66,32.08,0.010000
83000,0.00,50.40,34.40,80.91,36.02,0.010000
83500,0.00,50.56,34.25,80.17,35.44,0.010000
84000,0.00,45.80,37.23,81.63,36.21,0.010000
84500,0.00,47.41,36.51,78.26,37.25,0.010000
85000,0.00,48.53,33.60,77.24,40.52,0.010000
85500,0.00,45.00,40.68,75.74,34.91,0.010000
86000,0.00,56.10,31.30,82.33,30.50,0.010000
86500,0.00,51.39,31.95,78.00,38.37,0.010000
87000,0.00,45.90,38.15,80.41,36.64,0.010000
87500,0.00,49.16,36.14,77.78,33.33,0.010000
88000,0.00,46.40,35.63,76.40,38.98,0.010000
88500,0.00,43.51,36.50,84.92,34.96,0.010000
89000,0.00,47.41,34.19,82.97,30.91,0.010000
89500,0.00,42.32,41.00,85.41,33.89,0.010000
90000,0.00,46.06,40.08,77.64,36.76,0.010000
90500,0.00,51.97,40.86,76.75,34.97,0.010000
91000,0.00,47.01,36.40,76.67,37.35,0.010000
91500,0.00,51.44,33.60,79.17,33.33,0.010000
92000,0.00,46.18,36.96,81.86,37.35,0.010000
