Episode,RL_Agent,Bot 80/20,Bot 1/3,Bot Honest,Bot 60/40
500,0.80,41.67,44.83,80.00,31.73
1000,1.80,44.58,38.11,77.08,35.04
1500,1.60,50.00,34.19,79.06,35.14
2000,0.60,43.22,36.56,77.78,39.91
2500,1.60,48.21,38.13,76.12,32.27
3000,1.40,48.33,28.22,81.15,37.45
3500,1.60,46.61,32.67,80.82,36.36
4000,5.00,46.83,34.44,75.78,31.08
4500,4.60,50.63,32.32,75.20,33.47
5000,3.40,45.02,38.43,81.25,30.00
5500,4.80,49.26,34.46,75.00,36.65
6000,5.40,47.01,31.03,76.08,33.59
6500,5.20,43.72,31.08,78.57,33.33
7000,5.60,49.79,30.68,79.53,28.46
7500,8.60,45.16,29.49,75.00,29.20
8000,6.40,44.36,32.14,77.05,34.18
8500,9.80,45.28,35.04,76.47,25.20
9000,7.60,46.40,30.16,76.60,28.76
9500,8.00,45.16,31.25,74.90,30.48
10000,9.40,42.75,33.98,75.54,31.33
10500,15.60,39.01,30.89,76.96,27.06
11000,14.20,39.23,31.98,79.45,27.01
11500,11.00,43.32,34.46,79.55,26.69
12000,12.20,38.05,29.62,79.84,28.95
12500,11.20,37.87,26.94,79.07,32.63
13000,13.20,37.40,27.42,78.71,30.12
13500,12.60,40.68,27.44,79.40,29.96
14000,11.40,38.55,31.97,80.51,29.15
14500,12.20,42.26,30.30,77.61,24.72
15000,10.60,38.91,33.33,76.21,30.26
15500,11.20,39.17,31.52,77.56,28.92
16000,15.60,36.78,31.47,77.14,24.81
16500,12.60,34.77,29.26,77.95,30.33
17000,15.80,36.47,32.77,71.43,24.90
17500,15.00,37.14,27.88,78.00,27.12
18000,12.20,37.73,31.15,75.10,30.00
18500,16.00,37.92,30.23,74.80,25.78
19000,15.60,39.30,30.80,71.94,26.09
19500,14.40,38.29,31.69,75.71,25.31
20000,15.80,35.71,31.58,75.39,25.10
20500,16.60,38.04,30.48,76.92,23.97
21000,14.00,36.40,28.57,77.57,26.47
21500,16.20,36.69,26.61,75.66,25.32
22000,16.80,36.21,33.88,71.66,25.66
22500,13.40,38.91,32.20,75.18,23.24
23000,18.60,37.80,29.18,70.41,22.17
23500,16.20,37.31,29.29,73.38,24.79
24000,18.40,34.42,29.22,75.43,26.91
24500,14.40,32.19,26.61,78.57,24.89
25000,15.40,33.20,26.64,78.55,25.64
25500,17.20,39.47,29.89,72.61,26.30
26000,17.40,37.61,29.41,76.28,22.09
26500,20.60,31.87,23.92,76.10,26.75
27000,16.40,34.04,26.69,77.66,24.48
27500,14.40,37.72,29.01,74.69,31.97
28000,18.80,39.22,28.69,72.87,20.00
28500,16.60,31.97,32.30,77.22,27.86
29000,17.80,35.54,29.76,78.37,21.84
29500,16.20,37.30,26.29,75.74,30.25
30000,18.20,36.61,28.15,73.25,26.79
30500,19.00,32.23,29.13,76.17,23.39
31000,18.60,34.69,27.34,77.64,25.00
31500,20.40,27.76,25.51,79.77,23.60
32000,16.40,35.00,28.98,78.70,28.30
32500,20.00,34.40,29.50,73.86,18.67
33000,19.60,34.31,25.59,75.10,26.36
33500,16.60,34.96,26.64,80.15,22.32
34000,19.40,37.25,27.09,75.93,22.53
34500,21.60,32.49,23.58,80.53,24.70
35000,20.40,34.09,30.65,74.03,23.74
35500,19.80,31.49,30.31,76.69,25.09
36000,21.20,31.69,26.29,77.01,20.41
36500,20.40,33.33,25.00,76.34,22.99
37000,17.60,36.29,32.31,76.83,20.23
37500,19.80,30.10,33.19,73.36,24.57
38000,18.20,30.89,27.57,76.26,27.39
38500,21.00,28.51,26.47,77.61,21.83
39000,18.80,32.68,29.58,73.21,23.95
39500,17.80,32.33,31.05,77.04,21.40
40000,20.60,31.97,26.34,80.75,27.34
40500,17.20,36.43,28.40,76.52,24.49
41000,22.40,36.67,25.86,75.83,23.83
41500,22.40,32.18,25.34,76.28,20.75
42000,17.40,32.66,31.67,74.70,25.87
42500,18.60,36.94,24.05,75.29,23.73
43000,15.20,35.04,31.06,74.05,27.50
43500,18.60,34.69,29.01,73.81,24.90
44000,20.40,30.98,27.59,76.98,23.37
44500,20.60,35.98,25.60,75.09,19.51
45000,21.40,32.26,28.24,72.91,23.58
45500,16.60,36.69,27.38,75.28,24.03
46000,19.20,35.52,30.36,76.15,21.57
46500,19.60,32.81,29.53,76.80,21.25
47000,22.20,29.07,27.80,76.19,21.65
47500,16.80,36.48,25.94,75.09,24.71
48000,19.40,32.52,30.20,74.81,21.05
48500,19.00,38.46,24.21,75.10,25.51
49000,21.40,28.09,29.04,80.91,21.03
49500,19.20,35.77,27.08,75.94,18.80
50000,21.60,28.86,26.74,79.76,20.90
