Episode,RL_Agent,Bot 80/20,Bot 1/3,Bot Honest,Bot 60/40,Epsilon
500,2.40,50.71,34.76,74.70,32.20,0.830447
1000,3.80,43.37,38.31,73.83,35.04,0.694615
1500,3.40,50.00,33.21,74.29,36.36,0.581236
2000,3.40,40.89,41.38,73.02,36.64,0.489004
2500,3.20,48.61,40.54,75.98,31.80,0.412730
3000,5.20,40.95,35.68,75.53,32.24,0.351071
3500,5.20,43.25,42.14,74.55,32.66,0.298905
4000,4.60,39.24,43.72,74.90,31.91,0.258888
4500,8.00,43.44,38.43,75.09,24.15,0.222783
5000,8.80,39.82,35.66,74.31,32.32,0.189871
5500,8.60,41.53,41.30,73.68,25.58,0.163406
6000,10.00,39.92,35.71,74.73,25.31,0.141555
6500,8.60,47.06,35.37,72.62,25.91,0.122705
7000,10.60,43.89,36.10,70.00,29.57,0.106512
7500,8.40,38.56,35.68,71.68,32.38,0.092328
8000,8.80,40.00,44.36,71.25,27.52,0.080163
8500,9.20,38.75,42.74,71.97,29.32,0.069245
9000,9.20,41.08,36.05,73.64,29.22,0.060186
9500,10.00,38.74,36.21,79.38,24.81,0.052692
10000,9.60,42.44,38.31,69.65,29.51,0.045979
10500,12.40,39.20,37.05,72.94,24.59,0.040155
11000,10.20,39.69,40.87,74.17,26.87,0.034971
11500,10.80,37.02,37.30,71.17,28.45,0.030263
12000,8.80,43.13,37.70,72.18,28.57,0.026268
12500,6.40,41.98,44.06,74.58,26.97,0.022750
13000,8.40,40.48,41.56,76.45,26.62,0.019726
13500,8.20,42.56,40.25,68.67,32.91,0.017097
14000,5.80,45.15,41.27,73.11,26.72,0.014808
14500,7.80,38.13,39.30,76.05,31.85,0.012841
15000,10.00,40.96,38.52,70.12,30.83,0.011143
15500,10.60,38.82,34.40,73.70,28.81,0.010000
16000,7.60,34.87,43.15,75.10,29.64,0.010000
16500,11.00,38.93,40.00,70.22,32.23,0.010000
17000,10.60,39.77,42.28,73.78,27.17,0.010000
17500,10.80,40.38,43.24,70.04,24.90,0.010000
18000,11.60,39.25,37.70,72.95,27.53,0.010000
18500,12.20,38.78,45.53,67.98,25.79,0.010000
19000,12.40,37.31,37.50,75.21,26.02,0.010000
19500,11.60,33.77,39.69,72.65,30.15,0.010000
20000,9.00,38.84,38.70,69.66,31.80,0.010000
20500,7.00,40.86,42.60,76.26,26.24,0.010000
