Episode,RL_Agent,Bot 80/20,Bot 1/3,Bot Honest,Bot 60/40
500,2.40,47.92,34.39,79.17,33.47
1000,2.00,49.02,29.84,79.47,34.19
1500,2.20,48.80,33.08,79.22,36.33
2000,4.40,43.86,28.46,74.92,35.93
2500,6.80,40.38,33.92,79.58,25.00
3000,9.60,43.23,32.07,77.39,29.96
3500,10.80,43.39,33.05,74.64,22.63
4000,13.80,40.48,26.76,75.09,22.80
4500,14.20,37.10,30.80,76.14,24.44
5000,15.20,36.96,35.23,78.35,22.18
5500,16.60,36.63,28.22,75.19,25.58
6000,16.40,39.29,27.44,78.63,21.37
6500,19.40,31.18,29.18,77.87,22.31
7000,15.60,34.58,29.84,78.29,24.59
7500,17.60,34.40,27.69,80.16,21.01
8000,18.20,30.12,31.67,79.45,22.09
8500,20.00,34.55,27.49,78.45,21.90
9000,18.20,37.71,24.90,72.01,25.93
9500,17.40,32.68,31.05,78.43,21.40
10000,20.40,34.78,21.46,78.65,20.17
10500,23.00,27.43,31.89,76.06,17.24
11000,19.80,28.63,33.76,79.70,15.10
11500,19.40,30.80,30.68,81.12,18.80
12000,22.20,29.58,28.68,80.00,19.61
12500,22.20,27.61,31.60,78.52,16.73
13000,23.40,30.77,21.98,81.12,22.52
13500,20.20,26.81,30.47,76.47,21.54
14000,23.40,33.56,28.51,76.65,18.36
14500,20.40,33.20,29.04,80.65,23.60
15000,21.40,30.67,25.88,78.57,18.67
15500,21.60,32.52,26.47,74.61,22.31
16000,22.80,29.96,27.34,80.17,20.09
16500,21.80,31.56,27.31,79.39,15.32
17000,24.20,30.98,24.90,75.00,19.07
17500,22.80,30.48,28.98,80.33,16.60
18000,22.20,29.96,30.42,77.64,19.75
18500,18.20,31.54,26.80,76.64,23.83
19000,17.60,34.55,27.27,78.03,22.39
19500,21.80,31.34,29.26,78.17,22.26
20000,19.20,28.46,33.47,77.43,20.51
20500,23.80,28.96,23.17,76.21,24.29
21000,20.00,29.81,36.23,75.66,22.13
21500,22.60,31.75,31.93,79.34,20.88
22000,23.00,30.09,27.24,77.48,16.80
22500,19.60,34.62,25.86,77.19,20.83
23000,21.60,31.32,27.71,81.33,17.96
23500,18.60,28.46,33.33,72.26,24.80
24000,19.80,31.40,28.31,77.15,19.18
24500,22.20,33.69,30.43,74.67,20.16
25000,20.40,30.08,31.54,74.63,19.18
25500,16.80,32.93,26.74,78.26,27.56
26000,16.80,34.84,30.58,76.45,22.75
26500,18.40,30.40,29.15,79.59,24.79
27000,17.80,35.19,26.32,76.68,26.21
27500,23.40,29.17,32.17,80.26,15.60
28000,21.20,31.41,34.80,79.11,16.94
28500,20.60,33.99,31.15,76.96,20.62
29000,18.60,34.50,31.71,75.72,22.13
29500,20.80,33.86,25.29,76.05,25.51
30000,20.20,34.20,30.58,74.80,20.51
30500,20.20,35.11,25.81,76.40,21.67
31000,19.80,38.04,25.77,75.10,22.08
31500,18.60,34.73,33.61,71.95,22.98
32000,21.00,35.29,27.73,77.69,19.32
32500,22.80,30.24,25.83,78.71,16.87
33000,19.00,28.99,28.63,78.26,20.41
33500,24.00,30.60,33.33,75.32,17.07
34000,22.80,29.27,28.35,78.69,19.28
34500,20.00,31.72,27.10,74.80,26.07
35000,21.20,31.43,29.32,73.60,23.05
35500,20.80,27.20,29.88,81.01,18.73
36000,19.40,31.01,33.07,77.73,21.74
36500,23.20,31.60,28.03,78.35,20.00
37000,20.40,34.22,28.21,75.30,21.03
37500,25.40,34.82,23.89,75.68,21.13
38000,24.00,29.89,24.41,78.40,18.30
38500,20.20,32.35,32.30,76.42,19.69
39000,25.80,29.93,28.34,77.09,16.67
39500,20.60,31.54,25.88,79.92,18.87
40000,18.00,35.92,30.60,74.50,22.46
40500,19.00,33.19,30.04,76.10,17.83
41000,21.40,31.82,27.24,76.59,21.01
41500,21.00,31.45,32.27,75.60,18.73
42000,25.60,25.81,27.45,75.30,20.80
42500,21.60,30.40,27.88,80.08,17.39
43000,21.80,33.46,26.91,78.35,21.43
43500,23.80,30.69,28.19,78.11,17.32
44000,20.00,30.94,27.82,79.13,21.40
44500,23.60,29.51,27.97,79.32,18.99
45000,23.40,33.21,28.46,77.92,16.53
45500,22.80,29.73,29.20,80.82,15.45
46000,20.40,33.07,25.79,79.45,20.73
46500,19.60,33.07,33.48,73.71,21.27
47000,22.40,27.80,33.20,74.19,20.16
47500,23.80,32.34,27.72,82.55,14.07
48000,19.00,31.38,30.04,80.32,20.08
48500,19.40,34.63,30.68,75.53,22.35
49000,21.60,32.05,29.48,78.10,18.15
49500,18.80,29.44,27.38,81.04,20.16
50000,24.80,31.91,24.18,78.75,17.37
