Episode,RL_Agent,Bot 80/20,Epsilon
500,1.20,49.40,0.824712
1000,2.20,48.90,0.682787
1500,2.20,48.90,0.567273
2000,3.80,48.10,0.470907
2500,2.20,48.90,0.392379
3000,7.20,46.40,0.328205
3500,7.00,46.50,0.275466
4000,7.80,46.10,0.231376
4500,7.60,46.20,0.195158
5000,5.60,47.20,0.164703
5500,10.00,45.00,0.138702
6000,7.80,46.10,0.117564
6500,7.80,46.10,0.099228
7000,12.40,43.80,0.084573
7500,10.60,44.70,0.072044
8000,11.80,44.10,0.061434
8500,12.80,43.60,0.052395
9000,11.00,44.50,0.044644
9500,14.00,43.00,0.038043
10000,12.20,43.90,0.032437
10500,9.60,45.20,0.027437
11000,7.60,46.20,0.023241
11500,7.80,46.10,0.019674
12000,8.80,45.60,0.016767
12500,7.20,46.40,0.014212
13000,9.60,45.20,0.012134
13500,8.00,46.00,0.010322
14000,6.60,46.70,0.010000
14500,8.00,46.00,0.010000
15000,6.00,47.00,0.010000
15500,6.80,46.60,0.010000
16000,5.40,47.30,0.010000
16500,6.40,46.80,0.010000
17000,5.40,47.30,0.010000
17500,7.40,46.30,0.010000
18000,4.40,47.80,0.010000
18500,4.40,47.80,0.010000
19000,4.40,47.80,0.010000
19500,5.80,47.10,0.010000
20000,5.40,47.30,0.010000
20500,6.80,46.60,0.010000
21000,3.00,48.50,0.010000
21500,2.00,49.00,0.010000
22000,3.60,48.20,0.010000
22500,4.20,47.90,0.010000
23000,3.20,48.40,0.010000
23500,5.00,47.50,0.010000
24000,7.40,46.30,0.010000
24500,6.60,46.70,0.010000
25000,5.20,47.40,0.010000
25500,6.60,46.70,0.010000
26000,6.20,46.90,0.010000
26500,8.40,45.80,0.010000
27000,6.40,46.80,0.010000
27500,7.40,46.30,0.010000
28000,6.60,46.70,0.010000
28500,8.60,45.70,0.010000
29000,8.60,45.70,0.010000
29500,7.40,46.30,0.010000
30000,7.40,46.30,0.010000
30500,6.60,46.70,0.010000
31000,4.60,47.70,0.010000
31500,10.80,44.60,0.010000
32000,8.80,45.60,0.010000
32500,10.60,44.70,0.010000
33000,7.60,46.20,0.010000
33500,4.40,47.80,0.010000
34000,4.80,47.60,0.010000
34500,5.20,47.40,0.010000
35000,5.20,47.40,0.010000
35500,3.80,48.10,0.010000
36000,4.00,48.00,0.010000
36500,3.40,48.30,0.010000
37000,5.80,47.10,0.010000
37500,8.40,45.80,0.010000
38000,3.20,48.40,0.010000
38500,3.40,48.30,0.010000
39000,9.00,45.50,0.010000
39500,7.60,46.20,0.010000
40000,8.40,45.80,0.010000
40500,11.20,44.40,0.010000
41000,19.40,40.30,0.010000
41500,12.40,43.80,0.010000
42000,9.60,45.20,0.010000
42500,6.60,46.70,0.010000
43000,7.60,46.20,0.010000
43500,4.40,47.80,0.010000
44000,5.60,47.20,0.010000
44500,9.00,45.50,0.010000
45000,5.00,47.50,0.010000
45500,7.60,46.20,0.010000
46000,3.80,48.10,0.010000
46500,6.80,46.60,0.010000
47000,3.00,48.50,0.010000
47500,2.00,49.00,0.010000
48000,4.00,48.00,0.010000
48500,2.60,48.70,0.010000
49000,3.20,48.40,0.010000
49500,3.40,48.30,0.010000
50000,3.00,48.50,0.010000
